dependent_variable,coef,std err,t,P>|t|,[0.025,0.975],R_SQ,F_STAT,N
ratio.priceToOperatingCashFlowsRatio,10.7486,0.722,14.892,0,9.333,12.164,0.123,221.8,1589
ratio.priceCashFlowRatio,10.7486,0.722,14.892,0,9.333,12.164,0.123,221.8,1589
key_metrics.pocfratio,10.7517,0.722,14.892,0,9.336,12.168,0.123,221.8,1588
ratio.dividendYield,-0.0191,0.001,-12.774,0,-0.022,-0.016,0.108,163.2,1351
key_metrics.dividendYield,-0.0191,0.001,-12.766,0,-0.022,-0.016,0.108,163,1350
ratio.enterpriseValueMultiple,8.3285,0.631,13.204,0,7.091,9.566,0.104,174.3,1510
key_metrics.enterpriseValueOverEBITDA,8.3306,0.631,13.203,0,7.093,9.568,0.104,174.3,1509
key_metrics.evToOperatingCashFlow,10.0302,0.791,12.687,0,8.479,11.581,0.092,161,1597
ratio.priceEarningsRatio,14.4768,1.32,10.968,0,11.888,17.066,0.075,120.3,1478
key_metrics.peRatio,14.4805,1.32,10.967,0,11.89,17.071,0.075,120.3,1477
enterprise_value.stockPrice,61.9739,5.376,11.528,0,51.43,72.517,0.069,132.9,1807
key_metrics.earningsYield,-0.0282,0.003,-9.611,0,-0.034,-0.022,0.055,92.37,1575
ratio.priceToSalesRatio,2.0237,0.214,9.47,0,1.605,2.443,0.054,89.68,1577
ratio.priceSalesRatio,2.0237,0.214,9.47,0,1.605,2.443,0.054,89.68,1577
key_metrics.priceToSalesRatio,2.0255,0.214,9.477,0,1.606,2.445,0.054,89.8,1576
ratio.priceBookValueRatio,2.6437,0.292,9.052,0,2.071,3.217,0.053,81.93,1476
ratio.priceToBookRatio,2.6437,0.292,9.052,0,2.071,3.217,0.053,81.93,1476
ratio.priceFairValue,2.6437,0.292,9.052,0,2.071,3.217,0.053,81.93,1476
key_metrics.pbRatio,2.6467,0.292,9.061,0,2.074,3.22,0.053,82.1,1475
key_metrics.ptbRatio,2.6467,0.292,9.061,0,2.074,3.22,0.053,82.1,1475
key_metrics.pfcfRatio,11.4622,1.292,8.875,0,8.929,13.996,0.053,78.76,1420
ratio.priceToFreeCashFlowsRatio,11.5767,1.294,8.945,0,9.038,14.115,0.053,80.02,1420
key_metrics.evToFreeCashFlow,11.5716,1.407,8.227,0,8.812,14.331,0.046,67.68,1404
key_metrics.evToSales,2.0077,0.244,8.219,0,1.529,2.487,0.041,67.55,1568
financial_growth.rdexpenseGrowth,0.0833,0.019,4.287,0,0.045,0.121,0.034,18.38,530
financial_growth.fiveYOperatingCFGrowthPerShare,0.4912,0.065,7.611,0,0.365,0.618,0.033,57.93,1714
financial_growth.grossProfitGrowth,0.0738,0.01,7.077,0,0.053,0.094,0.033,50.08,1458
financial_growth.assetGrowth,0.0631,0.009,7.173,0,0.046,0.08,0.03,51.46,1691
income_statement_growht.growthGrossProfit,0.0633,0.01,6.474,0,0.044,0.082,0.027,41.91,1514
financial_growth.ebitgrowth,0.1241,0.02,6.267,0,0.085,0.163,0.027,39.27,1425
financial_growth.operatingIncomeGrowth,0.1241,0.02,6.267,0,0.085,0.163,0.027,39.27,1425
income_statement_growht.growthResearchAndDevelopmentExpenses,0.0748,0.02,3.827,0,0.036,0.113,0.026,14.65,549
financial_growth.fiveYRevenueGrowthPerShare,0.2551,0.038,6.635,0,0.18,0.33,0.025,44.03,1744
financial_growth.tenYRevenueGrowthPerShare,0.5747,0.088,6.556,0,0.403,0.747,0.024,42.99,1721
financial_growth.receivablesGrowth,0.0886,0.014,6.265,0,0.061,0.116,0.024,39.25,1630
income_statement_growht.growthGrossProfitRatio,0.0215,0.004,6.094,0,0.015,0.028,0.024,37.13,1494
key_metrics.capexToOperatingCashFlow,-1.9914,0.327,-6.084,0,-2.633,-1.349,0.024,37.02,1476
ratio.capitalExpenditureCoverageRatio,-1.9914,0.327,-6.084,0,-2.633,-1.349,0.024,37.02,1476
financial_growth.tenYOperatingCFGrowthPerShare,0.8381,0.132,6.335,0,0.579,1.098,0.023,40.14,1671
income_statement_growht.growthOperatingIncome,0.1265,0.021,5.945,0,0.085,0.168,0.023,35.35,1504
income_statement_growht.growthIncomeTaxExpense,0.4292,0.073,5.892,0,0.286,0.572,0.022,34.72,1574
financial_growth.threeYOperatingCFGrowthPerShare,0.2644,0.044,6.015,0,0.178,0.351,0.021,36.18,1687
financial_growth.operatingCashFlowGrowth,0.1401,0.025,5.569,0,0.091,0.189,0.018,31.01,1671
key_metrics.researchAndDdevelopementToRevenue,0.0369,0.011,3.247,0.001,0.015,0.059,0.018,10.54,579
balance_sheet.deferredRevenueNonCurrent,-165700000,65100000,-2.544,0.011,-294000000,-37600000,0.018,6.474,360
income_statement_growht.growthRevenue,0.0442,0.008,5.416,0,0.028,0.06,0.017,29.33,1669
income_statement_growht.growthIncomeBeforeTaxRatio,0.126,0.025,5.115,0,0.078,0.174,0.017,26.16,1509
income_statement_growht.growthOperatingIncomeRatio,0.1117,0.022,5.165,0,0.069,0.154,0.017,26.68,1506
financial_growth.revenueGrowth,0.043,0.008,5.223,0,0.027,0.059,0.016,27.28,1702
financial_growth.freeCashFlowGrowth,0.2136,0.042,5.051,0,0.131,0.297,0.016,25.52,1611
income_statement_growht.growthIncomeBeforeTax,0.1512,0.03,4.969,0,0.092,0.211,0.016,24.69,1549
key_metrics.freeCashFlowYield,-0.0159,0.003,-4.883,0,-0.022,-0.01,0.016,23.84,1516
key_metrics.averagePayables,-547100000,119000000,-4.58,0,-781000000,-313000000,0.016,20.97,1298
ratio.freeCashFlowOperatingCashFlowRatio,0.1273,0.026,4.818,0,0.076,0.179,0.015,23.21,1567
balance_sheet.propertyPlantEquipmentNet,-2438000000,508000000,-4.799,0,-3430000000,-1440000000,0.015,23.04,1526
balance_sheet.accountPayables,-527100000,110000000,-4.799,0,-743000000,-312000000,0.015,23.03,1505
income_statement_growht.growthEBITDA,0.095,0.02,4.666,0,0.055,0.135,0.014,21.78,1545
income_statement.costOfRevenue,-2375000000,533000000,-4.457,0,-3420000000,-1330000000,0.014,19.86,1436
key_metrics.averageInventory,-570100000,149000000,-3.83,0,-862000000,-278000000,0.014,14.67,1063
financial_growth.threeYRevenueGrowthPerShare,0.1114,0.023,4.843,0,0.066,0.156,0.013,23.46,1756
balance_sheet.totalAssets,-10290000000,2170000000,-4.733,0,-14600000000,-6020000000,0.013,22.4,1639
balance_sheet.totalLiabilitiesAndStockholdersEquity,-9740000000,2130000000,-4.566,0,-13900000000,-5560000000,0.013,20.84,1637
financial_growth.fiveYDividendperShareGrowthPerShare,0.3158,0.077,4.089,0,0.164,0.467,0.013,16.72,1306
financial_growth.threeYDividendperShareGrowthPerShare,0.1406,0.034,4.137,0,0.074,0.207,0.013,17.12,1280
enterprise_value.numberOfShares,-113200000,25100000,-4.514,0,-162000000,-64000000,0.012,20.38,1719
financial_growth.fiveYNetIncomeGrowthPerShare,0.4246,0.096,4.436,0,0.237,0.612,0.012,19.68,1642
balance_sheet.totalNonCurrentAssets,-6645000000,1480000000,-4.5,0,-9540000000,-3750000000,0.012,20.25,1631
financial_growth.tenYNetIncomeGrowthPerShare,0.8639,0.192,4.495,0,0.487,1.241,0.012,20.2,1616
cash_flow.investmentsInPropertyPlantAndEquipment,284200000,65700000,4.324,0,155000000,413000000,0.012,18.7,1555
income_statement_growht.growthEBITDARatio,0.0629,0.015,4.306,0,0.034,0.092,0.012,18.54,1511
