,enterprise_value.annual_stock_increase
enterprise_value.annual_stock_increase,1
key_metrics.enterpriseValueOverEBITDA,0.360546333
ratio.enterpriseValueMultiple,0.360402587
key_metrics.pocfratio,0.351598389
ratio.priceCashFlowRatio,0.351425033
ratio.priceToOperatingCashFlowsRatio,0.351425033
key_metrics.evToOperatingCashFlow,0.314425903
enterprise_value.stockPrice,0.301007096
key_metrics.priceToSalesRatio,0.300358791
ratio.priceSalesRatio,0.299976916
ratio.priceToSalesRatio,0.299976916
key_metrics.peRatio,0.295235494
ratio.priceEarningsRatio,0.2951148
key_metrics.evToSales,0.267277465
key_metrics.pbRatio,0.263857705
key_metrics.ptbRatio,0.263857705
ratio.priceFairValue,0.263481963
ratio.priceToBookRatio,0.263481963
ratio.priceBookValueRatio,0.263481963
ratio.priceToFreeCashFlowsRatio,0.232719071
key_metrics.pfcfRatio,0.232717797
financial_growth.assetGrowth,0.207551402
financial_growth.grossProfitGrowth,0.201067517
key_metrics.evToFreeCashFlow,0.197970578
financial_growth.rdexpenseGrowth,0.188516825
financial_growth.ebitgrowth,0.187880371
financial_growth.operatingIncomeGrowth,0.187880371
income_statement_growht.growthGrossProfit,0.186127017
financial_growth.fiveYOperatingCFGrowthPerShare,0.185686299
financial_growth.receivablesGrowth,0.17796972
financial_growth.revenueGrowth,0.172764158
income_statement_growht.growthRevenue,0.165625077
income_statement_growht.growthOperatingIncome,0.164879939
income_statement_growht.growthResearchAndDevelopmentExpenses,0.163763826
key_metrics.stockBasedCompensationToRevenue,0.163432409
financial_growth.fiveYRevenueGrowthPerShare,0.162821623
income_statement_growht.growthIncomeBeforeTax,0.157566238
enterprise_value.marketCapitalization,0.15144634
income_statement_growht.growthEBITDA,0.151423583
financial_growth.tenYOperatingCFGrowthPerShare,0.151374864
key_metrics.researchAndDdevelopementToRevenue,0.150042696
income_statement_growht.growthIncomeTaxExpense,0.145590096
financial_growth.operatingCashFlowGrowth,0.144641229
key_metrics.netCurrentAssetValue,0.143173051
financial_growth.threeYOperatingCFGrowthPerShare,0.141379881
key_metrics.marketCap,0.139339449
cash_flow.changeInWorkingCapital,0.137169379
income_statement_growht.growthGrossProfitRatio,0.137052147
financial_growth.tenYRevenueGrowthPerShare,0.134184345
income_statement_growht.growthIncomeBeforeTaxRatio,0.133770177
income_statement.incomeBeforeTaxRatio,0.132112772
key_metrics.roic,0.130747833
