dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.dividendYield,-0.0254,0.005,-5.235,0,0.22,27.4,99
ratio.dividendYield,-0.0254,0.005,-5.235,0,0.22,27.4,99
key_metrics.peRatio,21.762,4.252,5.118,0,0.208,26.2,102
ratio.priceEarningsRatio,21.762,4.252,5.118,0,0.208,26.2,102
cash_flow.salesMaturitiesOfInvestments,1089000000,433000000,2.515,0.017,0.169,6.324,33
key_metrics.pocfratio,13.3268,2.985,4.465,0,0.161,19.94,106
ratio.priceToOperatingCashFlowsRatio,13.3268,2.985,4.465,0,0.161,19.94,106
ratio.priceCashFlowRatio,13.3268,2.985,4.465,0,0.161,19.94,106
key_metrics.enterpriseValueOverEBITDA,11.0782,2.517,4.401,0,0.156,19.37,107
ratio.enterpriseValueMultiple,11.0782,2.517,4.401,0,0.156,19.37,107
key_metrics.pbRatio,8.1067,2.141,3.786,0,0.135,14.33,94
key_metrics.ptbRatio,8.1067,2.141,3.786,0,0.135,14.33,94
ratio.priceBookValueRatio,8.1067,2.141,3.786,0,0.135,14.33,94
ratio.priceToBookRatio,8.1067,2.141,3.786,0,0.135,14.33,94
ratio.priceFairValue,8.1067,2.141,3.786,0,0.135,14.33,94
cash_flow.netCashUsedProvidedByFinancingActivities,2436000000,1000000000,2.434,0.02,0.132,5.923,41
cash_flow.accountsReceivables,-165800000,48700000,-3.402,0.001,0.126,11.57,82
financial_growth.revenueGrowth,0.0777,0.023,3.426,0.001,0.097,11.74,111
financial_growth.grossProfitGrowth,0.1157,0.033,3.496,0.001,0.096,12.22,117
key_metrics.earningsYield,-0.0364,0.011,-3.251,0.002,0.096,10.57,102
income_statement_growht.growthGrossProfit,0.112,0.033,3.427,0.001,0.093,11.74,116
balance_sheet.netDebt,-11750000000,3530000000,-3.33,0.001,0.092,11.09,112
income_statement_growht.growthRevenue,0.0772,0.023,3.319,0.001,0.091,11.02,112
key_metrics.pfcfRatio,15.8343,4.942,3.204,0.002,0.091,10.27,105
ratio.priceToFreeCashFlowsRatio,15.8343,4.942,3.204,0.002,0.091,10.27,105
enterprise_value.stockPrice,65.0985,19.371,3.361,0.001,0.09,11.29,116
key_metrics.evToOperatingCashFlow,9.5263,3.017,3.158,0.002,0.088,9.971,105
balance_sheet.totalDebt,-12010000000,3790000000,-3.166,0.002,0.086,10.02,108
key_metrics.priceToSalesRatio,2.3672,0.751,3.153,0.002,0.086,9.939,108
ratio.cashFlowToDebtRatio,0.217,0.086,2.519,0.014,0.086,6.344,69
ratio.cashFlowCoverageRatios,0.217,0.086,2.519,0.014,0.086,6.344,69
ratio.priceToSalesRatio,2.3672,0.751,3.153,0.002,0.086,9.939,108
ratio.priceSalesRatio,2.3672,0.751,3.153,0.002,0.086,9.939,108
income_statement_growht.growthCostOfRevenue,0.0816,0.026,3.118,0.002,0.083,9.722,110
key_metrics.freeCashFlowYield,-0.032,0.011,-3.009,0.003,0.082,9.052,103
cash_flow.changeInWorkingCapital,1054000000,370000000,2.853,0.005,0.077,8.137,99
cash_flow.otherInvestingActivites,-558800000,217000000,-2.58,0.012,0.075,6.658,84
enterprise_value.addTotalDebt,-11520000000,4010000000,-2.871,0.005,0.073,8.243,106
key_metrics.roic,0.1314,0.046,2.83,0.006,0.07,8.011,109
ratio.returnOnCapitalEmployed,0.1314,0.046,2.83,0.006,0.07,8.011,109
ratio.cashRatio,0.2075,0.076,2.727,0.008,0.068,7.438,104
key_metrics.capexToDepreciation,0.3457,0.131,2.631,0.01,0.064,6.922,104
key_metrics.stockBasedCompensationToRevenue,0.0031,0.001,2.537,0.013,0.064,6.437,96
financial_growth.tenYOperatingCFGrowthPerShare,1.1659,0.447,2.606,0.01,0.061,6.794,107
financial_growth.threeYShareholdersEquityGrowthPerShare,0.5605,0.215,2.613,0.01,0.061,6.828,107
key_metrics.roe,0.2057,0.086,2.382,0.019,0.06,5.674,91
ratio.returnOnEquity,0.2057,0.086,2.382,0.019,0.06,5.674,91
cash_flow.dividendsPaid,738300000,314000000,2.348,0.021,0.058,5.514,92
balance_sheet.otherNonCurrentLiabilities,-901600000,379000000,-2.381,0.019,0.057,5.67,95
income_statement_growht.growthOperatingIncome,0.1699,0.07,2.443,0.016,0.055,5.97,105
income_statement.totalOtherIncomeExpensesNet,-257700000,121000000,-2.137,0.036,0.053,4.565,83
balance_sheet.otherNonCurrentAssets,-578800000,254000000,-2.277,0.025,0.052,5.184,97
income_statement_growht.growthIncomeBeforeTax,0.2224,0.098,2.28,0.025,0.052,5.199,97
income_statement.generalAndAdministrativeExpenses,5227000000,2330000000,2.246,0.027,0.051,5.043,95
income_statement_growht.growthCostAndExpenses,0.0627,0.027,2.356,0.02,0.051,5.55,105
key_metrics.netCurrentAssetValue,15400000000,6580000000,2.341,0.021,0.05,5.479,107
income_statement_growht.growthWeightedAverageShsOutDil,0.0186,0.009,2.19,0.031,0.049,4.794,95
ratio.quickRatio,0.2453,0.111,2.217,0.029,0.047,4.917,101
balance_sheet.othertotalStockholdersEquity,922300000,716000000,1.288,0.206,0.045,1.658,37
key_metrics.evToFreeCashFlow,10.4684,4.856,2.156,0.034,0.045,4.646,101
balance_sheet.otherCurrentLiabilities,1725000000,905000000,1.906,0.06,0.044,3.631,80
key_metrics.interestCoverage,6.3461,3.139,2.022,0.046,0.044,4.088,91
ratio.interestCoverage,6.3461,3.139,2.022,0.046,0.044,4.088,91
ratio.cashPerShare,1.8495,0.872,2.122,0.036,0.044,4.502,100
financial_growth.threeYOperatingCFGrowthPerShare,0.4007,0.18,2.223,0.028,0.043,4.94,111
key_metrics.netDebtToEBITDA,-1.3859,0.654,-2.12,0.036,0.042,4.493,104
financial_growth.tenYShareholdersEquityGrowthPerShare,1.036,0.486,2.13,0.035,0.041,4.537,107
balance_sheet.totalAssets,-27880000000,13000000000,-2.147,0.034,0.04,4.61,112
balance_sheet.totalLiabilitiesAndStockholdersEquity,-27600000000,12900000000,-2.132,0.035,0.04,4.544,112
financial_growth.ebitgrowth,0.1277,0.06,2.111,0.037,0.04,4.455,108
financial_growth.operatingIncomeGrowth,0.1277,0.06,2.111,0.037,0.04,4.455,108
income_statement_growht.growthOtherExpenses,-1.0227,0.656,-1.559,0.124,0.04,2.431,60
balance_sheet.deferredTaxLiabilitiesNonCurrent,-1329000000,723000000,-1.838,0.07,0.039,3.378,86
financial_growth.tenYRevenueGrowthPerShare,0.3925,0.19,2.07,0.041,0.038,4.286,111
financial_growth.fiveYOperatingCFGrowthPerShare,0.4857,0.24,2.026,0.045,0.035,4.105,116
financial_growth.tenYNetIncomeGrowthPerShare,1.05,0.544,1.931,0.056,0.035,3.73,106
income_statement_growht.growthEBITDA,0.1586,0.082,1.933,0.056,0.035,3.735,105
balance_sheet.longTermDebt,-5205000000,2810000000,-1.854,0.067,0.034,3.438,100
financial_growth.weightedAverageSharesDilutedGrowth,0.0163,0.009,1.879,0.063,0.034,3.531,101
ratio.shortTermCoverageRatios,20.0498,13.712,1.462,0.149,0.034,2.138,62
income_statement.incomeTaxExpense,527600000,289000000,1.825,0.071,0.033,3.33,101
cash_flow.netCashUsedForInvestingActivites,-1512000000,1260000000,-1.199,0.237,0.032,1.438,45
