dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.dividendYield,-0.0245,0.005,-4.86,0,0.17,23.62,117
ratio.dividendYield,-0.0245,0.005,-4.86,0,0.17,23.62,117
key_metrics.enterpriseValueOverEBITDA,12.8608,2.592,4.962,0,0.115,24.62,192
ratio.enterpriseValueMultiple,12.8608,2.592,4.962,0,0.115,24.62,192
key_metrics.evToOperatingCashFlow,14.754,2.955,4.993,0,0.114,24.93,196
key_metrics.pocfratio,14.6497,3.028,4.838,0,0.108,23.4,195
ratio.priceToOperatingCashFlowsRatio,14.6497,3.028,4.838,0,0.108,23.4,195
ratio.priceCashFlowRatio,14.6497,3.028,4.838,0,0.108,23.4,195
key_metrics.pfcfRatio,18.0376,4.236,4.259,0,0.088,18.14,191
ratio.priceToFreeCashFlowsRatio,18.0376,4.236,4.259,0,0.088,18.14,191
income_statement.sellingAndMarketingExpenses,-3669000000,2430000000,-1.507,0.145,0.086,2.271,26
key_metrics.freeCashFlowYield,-0.0311,0.007,-4.25,0,0.086,18.06,194
key_metrics.evToFreeCashFlow,17.6915,4.231,4.181,0,0.084,17.48,192
cash_flow.acquisitionsNet,587800000,377000000,1.558,0.131,0.082,2.426,29
key_metrics.peRatio,21.6931,5.6,3.874,0,0.079,15.01,178
ratio.priceEarningsRatio,21.6931,5.6,3.874,0,0.079,15.01,178
balance_sheet.deferredTaxLiabilitiesNonCurrent,-1075000000,392000000,-2.741,0.007,0.055,7.512,132
key_metrics.priceToSalesRatio,2.3403,0.713,3.28,0.001,0.054,10.76,192
ratio.priceToSalesRatio,2.3403,0.713,3.28,0.001,0.054,10.76,192
ratio.priceSalesRatio,2.3403,0.713,3.28,0.001,0.054,10.76,192
income_statement_growht.growthIncomeBeforeTaxRatio,0.2578,0.081,3.191,0.002,0.052,10.18,187
income_statement_growht.growthEBITDARatio,0.1406,0.045,3.116,0.002,0.051,9.708,183
key_metrics.payablesTurnover,2.2886,0.787,2.908,0.004,0.047,8.454,175
ratio.payablesTurnover,2.2886,0.787,2.908,0.004,0.047,8.454,175
key_metrics.stockBasedCompensationToRevenue,0.0052,0.002,2.923,0.004,0.046,8.544,178
income_statement.researchAndDevelopmentExpenses,-905400000,353000000,-2.563,0.011,0.043,6.571,149
key_metrics.evToSales,2.1548,0.736,2.929,0.004,0.043,8.581,194
key_metrics.researchAndDdevelopementToRevenue,-0.0654,0.027,-2.439,0.016,0.041,5.95,142
cash_flow.inventory,128100000,48100000,2.666,0.008,0.037,7.106,188
cash_flow.commonStockIssued,-118000000,73300000,-1.611,0.112,0.036,2.595,72
balance_sheet.totalCurrentAssets,-8216000000,2970000000,-2.764,0.006,0.034,7.642,217
balance_sheet.taxAssets,-449900000,247000000,-1.82,0.072,0.033,3.311,98
balance_sheet.shortTermDebt,-602300000,248000000,-2.424,0.016,0.033,5.877,174
ratio.cashRatio,0.2799,0.109,2.562,0.011,0.033,6.561,192
balance_sheet.totalCurrentLiabilities,-4158000000,1610000000,-2.582,0.011,0.032,6.669,206
ratio.priceEarningsToGrowthRatio,7.7661,3.316,2.342,0.02,0.032,5.484,167
key_metrics.pbRatio,1.9294,0.804,2.401,0.017,0.031,5.765,180
key_metrics.ptbRatio,1.9294,0.804,2.401,0.017,0.031,5.765,180
ratio.cashConversionCycle,52.3947,22.281,2.352,0.02,0.031,5.53,177
ratio.priceBookValueRatio,1.9294,0.804,2.401,0.017,0.031,5.765,180
ratio.priceToBookRatio,1.9294,0.804,2.401,0.017,0.031,5.765,180
ratio.priceFairValue,1.9294,0.804,2.401,0.017,0.031,5.765,180
cash_flow.freeCashFlow,-1292000000,503000000,-2.57,0.011,0.03,6.605,212
cash_flow.netCashProvidedByOperatingActivities,-1640000000,657000000,-2.496,0.013,0.029,6.23,213
cash_flow.operatingCashFlow,-1640000000,657000000,-2.496,0.013,0.029,6.23,213
financial_growth.tenYDividendperShareGrowthPerShare,-1.3872,0.87,-1.594,0.115,0.029,2.54,87
financial_growth.assetGrowth,0.0962,0.038,2.501,0.013,0.029,6.254,215
balance_sheet.otherCurrentLiabilities,-583600000,330000000,-1.769,0.08,0.028,3.13,112
cash_flow.otherInvestingActivites,-54530000,31300000,-1.743,0.084,0.028,3.038,108
financial_growth.ebitgrowth,0.1572,0.066,2.397,0.017,0.028,5.748,202
financial_growth.operatingIncomeGrowth,0.1572,0.066,2.397,0.017,0.028,5.748,202
income_statement_growht.growthOtherExpenses,-0.8117,0.417,-1.945,0.054,0.028,3.784,134
cash_flow.depreciationAndAmortization,-499400000,204000000,-2.445,0.015,0.027,5.979,219
cash_flow.debtRepayment,1278000000,574000000,2.226,0.027,0.026,4.957,186
income_statement_growht.growthInterestExpense,0.1296,0.061,2.136,0.034,0.026,4.564,175
enterprise_value.stockPrice,64.683,26.205,2.468,0.014,0.026,6.093,228
balance_sheet.totalAssets,-17040000000,7220000000,-2.36,0.019,0.025,5.571,220
balance_sheet.totalLiabilitiesAndStockholdersEquity,-17060000000,7210000000,-2.366,0.019,0.025,5.6,220
cash_flow.investmentsInPropertyPlantAndEquipment,241100000,105000000,2.295,0.023,0.025,5.266,206
cash_flow.capitalExpenditure,241100000,105000000,2.295,0.023,0.025,5.266,206
income_statement_growht.growthEBITDA,0.1365,0.064,2.134,0.034,0.025,4.555,180
ratio.effectiveTaxRate,0.1002,0.048,2.1,0.037,0.025,4.408,176
balance_sheet.totalLiabilities,-11580000000,5080000000,-2.28,0.024,0.024,5.2,218
income_statement.ebitda,-1594000000,719000000,-2.217,0.028,0.024,4.914,201
income_statement_growht.growthGrossProfitRatio,0.0186,0.009,2.177,0.031,0.024,4.741,191
income_statement_growht.growthWeightedAverageShsOutDil,0.0154,0.007,2.179,0.031,0.024,4.75,193
key_metrics.incomeQuality,0.4548,0.218,2.082,0.039,0.024,4.333,175
key_metrics.daysOfInventoryOnHand,41.6891,20.585,2.025,0.044,0.024,4.101,170
ratio.daysOfInventoryOutstanding,41.6891,20.585,2.025,0.044,0.024,4.101,170
income_statement.grossProfit,-3639000000,1730000000,-2.105,0.037,0.022,4.431,202
income_statement.operatingExpenses,-2425000000,1140000000,-2.119,0.035,0.022,4.489,203
income_statement.interestExpense,-184200000,88700000,-2.077,0.039,0.022,4.315,193
ratio.operatingCycle,46.6575,23.262,2.006,0.046,0.022,4.023,179
balance_sheet.cashAndCashEquivalents,-1248000000,590000000,-2.116,0.035,0.02,4.478,222
balance_sheet.longTermDebt,-5899000000,2880000000,-2.049,0.042,0.02,4.197,210
income_statement.depreciationAndAmortization,-435300000,206000000,-2.118,0.035,0.02,4.486,221
key_metrics.earningsYield,-0.0139,0.007,-1.974,0.05,0.02,3.897,194
enterprise_value.minusCashAndCashEquivalents,-1248000000,590000000,-2.116,0.035,0.02,4.478,222
balance_sheet.intangibleAssets,-3230000000,1620000000,-1.999,0.047,0.019,3.995,203
cash_flow.cashAtEndOfPeriod,-1241000000,600000000,-2.067,0.04,0.019,4.271,220
income_statement_growht.growthOperatingIncome,0.1375,0.073,1.893,0.06,0.019,3.583,186
key_metrics.averageReceivables,-1660000000,865000000,-1.919,0.056,0.019,3.683,188
income_statement.netIncome,-846000000,435000000,-1.945,0.053,0.018,3.785,209
income_statement_growht.growthIncomeBeforeTax,0.1909,0.103,1.852,0.066,0.018,3.428,191
enterprise_value.addTotalDebt,-5512000000,2960000000,-1.864,0.064,0.017,3.474,209
balance_sheet.totalDebt,-5341000000,2900000000,-1.84,0.067,0.016,3.384,215
cash_flow.netIncome,-801600000,435000000,-1.845,0.067,0.016,3.402,213
cash_flow.netCashUsedProvidedByFinancingActivities,-563400000,744000000,-0.757,0.454,0.016,0.573,38
financial_growth.tenYRevenueGrowthPerShare,-0.6275,0.344,-1.822,0.07,0.016,3.32,205
income_statement_growht.growthIncomeTaxExpense,0.5632,0.317,1.778,0.077,0.016,3.163,193
ratio.totalDebtToCapitalization,-0.0519,0.05,-1.048,0.298,0.016,1.098,71
balance_sheet.netReceivables,-1498000000,822000000,-1.822,0.07,0.015,3.321,215
balance_sheet.goodwillAndIntangibleAssets,-5885000000,3320000000,-1.775,0.077,0.015,3.15,210
income_statement.operatingIncome,-936600000,538000000,-1.74,0.083,0.015,3.026,200
income_statement_growht.growthResearchAndDevelopmentExpenses,0.0628,0.042,1.506,0.134,0.015,2.269,149
key_metrics.capexToOperatingCashFlow,1.2753,0.734,1.739,0.084,0.015,3.023,195
ratio.capitalExpenditureCoverageRatio,1.2753,0.734,1.739,0.084,0.015,3.023,195
balance_sheet.deferredRevenueNonCurrent,-137500000,235000000,-0.585,0.564,0.014,0.3423,26
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,787400000,478000000,1.648,0.101,0.014,2.715,196
balance_sheet.totalStockholdersEquity,-3563000000,2080000000,-1.71,0.089,0.014,2.925,206
cash_flow.purchasesOfInvestments,1525000000,1030000000,1.477,0.142,0.014,2.181,152
cash_flow.dividendsPaid,828200000,625000000,1.324,0.188,0.014,1.753,124
financial_growth.inventoryGrowth,0.0565,0.035,1.595,0.112,0.014,2.546,183
financial_growth.debtGrowth,0.0903,0.056,1.619,0.107,0.014,2.623,188
key_metrics.daysPayablesOutstanding,-11.9711,7.531,-1.589,0.114,0.014,2.527,175
ratio.daysOfPayablesOutstanding,-11.9711,7.531,-1.589,0.114,0.014,2.527,175
balance_sheet.netDebt,-3304000000,1940000000,-1.705,0.09,0.013,2.907,215
financial_growth.fiveYShareholdersEquityGrowthPerShare,-0.3615,0.228,-1.585,0.115,0.013,2.512,199
financial_growth.threeYDividendperShareGrowthPerShare,-0.1455,0.118,-1.229,0.222,0.013,1.509,114
income_statement.incomeBeforeTax,-903600000,553000000,-1.633,0.104,0.013,2.668,210
