dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.dividendYield,-0.0551,0.008,-6.666,0,0.338,44.44,89
ratio.dividendYield,-0.0551,0.008,-6.666,0,0.338,44.44,89
key_metrics.pocfratio,10.339,1.81,5.712,0,0.29,32.62,82
ratio.priceToOperatingCashFlowsRatio,10.339,1.81,5.712,0,0.29,32.62,82
ratio.priceCashFlowRatio,10.339,1.81,5.712,0,0.29,32.62,82
ratio.priceEarningsToGrowthRatio,14.2056,3.145,4.518,0,0.218,20.41,75
key_metrics.priceToSalesRatio,3.0316,0.714,4.248,0,0.175,18.04,87
ratio.priceToSalesRatio,3.0316,0.714,4.248,0,0.175,18.04,87
ratio.priceSalesRatio,3.0316,0.714,4.248,0,0.175,18.04,87
key_metrics.pbRatio,1.6431,0.422,3.894,0,0.161,15.16,81
key_metrics.ptbRatio,1.6431,0.422,3.894,0,0.161,15.16,81
ratio.priceBookValueRatio,1.6431,0.422,3.894,0,0.161,15.16,81
ratio.priceToBookRatio,1.6431,0.422,3.894,0,0.161,15.16,81
ratio.priceFairValue,1.6431,0.422,3.894,0,0.161,15.16,81
key_metrics.peRatio,18.9953,5.239,3.626,0.001,0.149,13.15,77
ratio.priceEarningsRatio,18.9953,5.239,3.626,0.001,0.149,13.15,77
key_metrics.evToOperatingCashFlow,9.5193,2.666,3.57,0.001,0.136,12.75,83
financial_growth.receivablesGrowth,-0.2638,0.087,-3.027,0.003,0.095,9.163,89
key_metrics.payoutRatio,-0.4357,0.157,-2.778,0.007,0.092,7.716,78
ratio.payoutRatio,-0.4357,0.157,-2.778,0.007,0.092,7.716,78
ratio.dividendPayoutRatio,-0.4414,0.162,-2.719,0.008,0.091,7.393,76
ratio.netIncomePerEBT,0.3375,0.134,2.527,0.014,0.078,6.386,78
cash_flow.stockBasedCompensation,50560000,35400000,1.429,0.165,0.076,2.042,27
income_statement_growht.growthCostAndExpenses,-0.2157,0.081,-2.669,0.009,0.073,7.125,93
key_metrics.evToSales,2.6246,1.03,2.549,0.013,0.069,6.495,89
cash_flow.deferredIncomeTax,-538000000,234000000,-2.298,0.024,0.061,5.282,84
income_statement_growht.growthTotalOtherIncomeExpensesNet,-1.8164,0.8,-2.271,0.026,0.06,5.158,83
key_metrics.enterpriseValueOverEBITDA,5.7209,2.495,2.293,0.024,0.06,5.257,84
ratio.enterpriseValueMultiple,5.7209,2.495,2.293,0.024,0.06,5.257,84
key_metrics.freeCashFlowYield,0.0536,0.024,2.205,0.03,0.058,4.862,81
financial_growth.freeCashFlowGrowth,1.7459,0.889,1.964,0.053,0.051,3.856,74
ratio.cashPerShare,-1.6437,0.826,-1.991,0.05,0.048,3.964,80
ratio.effectiveTaxRate,-0.2508,0.127,-1.971,0.052,0.045,3.885,84
income_statement_growht.growthGrossProfitRatio,0.0615,0.034,1.812,0.074,0.042,3.284,76
key_metrics.earningsYield,-0.0274,0.015,-1.87,0.065,0.042,3.498,82
income_statement_growht.growthOperatingExpenses,-0.1582,0.087,-1.827,0.071,0.038,3.34,86
ratio.shortTermCoverageRatios,-2.6804,2.062,-1.3,0.201,0.038,1.689,45
balance_sheet.intangibleAssets,-449200000,361000000,-1.245,0.22,0.037,1.55,42
financial_growth.threeYDividendperShareGrowthPerShare,0.173,0.097,1.777,0.079,0.037,3.159,85
key_metrics.debtToAssets,-0.0796,0.044,-1.793,0.077,0.036,3.214,87
ratio.debtRatio,-0.0796,0.044,-1.793,0.077,0.036,3.214,87
income_statement.incomeTaxExpense,-360500000,206000000,-1.749,0.084,0.035,3.059,86
key_metrics.workingCapital,2340000000,1350000000,1.731,0.087,0.034,2.995,88
ratio.cashRatio,-0.0847,0.048,-1.747,0.084,0.033,3.051,91
balance_sheet.totalNonCurrentLiabilities,16240000000,10100000000,1.602,0.113,0.029,2.566,89
financial_growth.revenueGrowth,-0.0678,0.043,-1.579,0.118,0.029,2.495,86
key_metrics.stockBasedCompensationToRevenue,0.0023,0.002,1.405,0.165,0.029,1.975,69
ratio.cashFlowToDebtRatio,-0.0661,0.055,-1.193,0.239,0.028,1.423,51
ratio.cashFlowCoverageRatios,-0.0661,0.055,-1.193,0.239,0.028,1.423,51
ratio.longTermDebtToCapitalization,-0.1071,0.071,-1.505,0.136,0.026,2.265,88
ratio.fixedAssetTurnover,4.1851,3.364,1.244,0.218,0.025,1.548,62
