,describe,Pearson,Spearman
count,239.0,,
mean,0.12170299154811715,,
std,0.3049262809939011,,
min,-0.572912564,,
25%,-0.0718866815,,
50%,0.110168413,,
75%,0.286574405,,
max,1.868713605,,
enterprise_value.annual_stock_increase,,1.0,1.0
key_metrics.researchAndDdevelopementToRevenue,,0.4002990140214101,0.3980295566502463
financial_growth.rdexpenseGrowth,,0.3257421091636989,0.5250210115406686
financial_growth.operatingCashFlowGrowth,,0.23921302468828165,0.28005178290304594
ratio.quickRatio,,0.23880183091258803,0.03770254519191614
key_metrics.stockBasedCompensationToRevenue,,0.2278813031809122,0.09567397544267253
ratio.cashRatio,,0.22596059579077507,0.06210634143164431
income_statement_growht.growthRevenue,,0.22237412371557214,0.2281059687361952
income_statement.netIncomeRatio,,0.22162081573007192,0.15300619966775736
income_statement.incomeBeforeTaxRatio,,0.2186297219869241,0.188181494758218
financial_growth.operatingIncomeGrowth,,0.2145545148529018,0.25231860338243317
financial_growth.ebitgrowth,,0.2145545148529018,0.25231860338243317
income_statement_growht.growthResearchAndDevelopmentExpenses,,0.21451344289198862,0.5023431685649078
financial_growth.fiveYOperatingCFGrowthPerShare,,0.21251097560082471,0.22435663773477765
income_statement.operatingIncomeRatio,,0.21094663330411745,0.17159514364707296
financial_growth.revenueGrowth,,0.20019312686780297,0.20450505948769318
financial_growth.grossProfitGrowth,,0.19932896845460374,0.2511704397439302
income_statement_growht.growthCostOfRevenue,,0.1934509289118703,0.1590452038228752
enterprise_value.stockPrice,,0.1884027236356093,0.29004442971612
income_statement_growht.growthCostAndExpenses,,0.18803469128913355,0.11341400073614531
cash_flow.accountsPayables,,0.1860758068850279,0.19379513852697092
ratio.returnOnAssets,,0.180937389999663,0.21468284621190353
income_statement.researchAndDevelopmentExpenses,,0.17923718232339192,0.0962566844919786
ratio.returnOnCapitalEmployed,,0.1788233726316026,0.21460579777460378
key_metrics.roic,,0.1788233726316026,0.21460579777460378
financial_growth.threeYRevenueGrowthPerShare,,0.16743603322406764,0.11634717822280602
financial_growth.fiveYRevenueGrowthPerShare,,0.1611015837115249,0.14580614345019421
enterprise_value.marketCapitalization,,0.1583835761891183,0.20266650169415787
income_statement.netIncome,,0.15542981789655738,0.12309873812873738
income_statement.incomeBeforeTax,,0.1552398613238465,0.14463795433854232
income_statement_growht.growthOtherExpenses,,0.15478056292768788,0.00947917903123177
income_statement_growht.growthGrossProfit,,0.1544657007654119,0.29023912552761455
ratio.operatingProfitMargin,,0.15433725733192238,0.18489385002484082
ratio.ebitPerRevenue,,0.154333250815931,0.21012028666809257
ratio.pretaxProfitMargin,,0.154333250815931,0.21012028666809257
key_metrics.currentRatio,,0.15241082385078758,0.09423802012244435
ratio.currentRatio,,0.15241082385078758,0.09423802012244435
financial_growth.threeYDividendperShareGrowthPerShare,,0.14791368381003692,0.1845263988838741
key_metrics.returnOnTangibleAssets,,0.14704222306190487,0.18376408898339355
