,describe,Pearson,Spearman
count,95.0,,
mean,-0.01306751869473684,,
std,0.27553869508270123,,
min,-0.484632789,,
25%,-0.2048081725,,
50%,-0.054968829,,
75%,0.1287776695,,
max,1.290995742,,
enterprise_value.annual_stock_increase,,1.0,1.0
cash_flow.netCashUsedForInvestingActivites,,1.0,1.0
cash_flow.netCashUsedProvidedByFinancingActivities,,1.0,1.0
balance_sheet.deferredRevenueNonCurrent,,0.9696388268422391,1.0
key_metrics.salesGeneralAndAdministrativeToRevenue,,0.47040365228017905,0.2
enterprise_value.stockPrice,,0.33287047185493956,0.4127813997134727
income_statement_growht.growthSellingAndMarketingExpenses,,0.3326237842431008,0.3776223776223776
key_metrics.priceToSalesRatio,,0.2613857917952744,0.22350003645111904
ratio.priceSalesRatio,,0.2613857917952744,0.22350003645111904
ratio.priceToSalesRatio,,0.2613857917952744,0.22350003645111904
key_metrics.pbRatio,,0.2320837596696759,0.33101261208719107
key_metrics.ptbRatio,,0.2320837596696759,0.33101261208719107
ratio.priceFairValue,,0.2320837596696759,0.33101261208719107
ratio.priceBookValueRatio,,0.2320837596696759,0.33101261208719107
ratio.priceToBookRatio,,0.2320837596696759,0.33101261208719107
cash_flow.effectOfForexChangesOnCash,,0.2316138158419542,0.3
financial_growth.fiveYShareholdersEquityGrowthPerShare,,0.22556617997606543,0.35736633632846815
key_metrics.evToOperatingCashFlow,,0.22520294478427522,0.364277751234273
ratio.cashRatio,,0.22199794904195572,0.04182839632277834
ratio.priceToOperatingCashFlowsRatio,,0.22014310644196583,0.3858350951374207
key_metrics.pocfratio,,0.22014310644196583,0.3858350951374207
ratio.priceCashFlowRatio,,0.22014310644196583,0.3858350951374207
key_metrics.evToSales,,0.21896207493157685,0.17246376811594202
key_metrics.freeCashFlowYield,,0.2073356326403336,-0.01392432747685354
financial_growth.operatingCashFlowGrowth,,0.19985459158678912,0.15046779612036268
key_metrics.researchAndDdevelopementToRevenue,,0.19820724081137922,0.17912244228033702
cash_flow.otherInvestingActivites,,0.18416600117741863,0.23173843926121912
financial_growth.revenueGrowth,,0.17939955981570332,0.14845934327926885
key_metrics.currentRatio,,0.17580717753949224,-0.04867017040930084
ratio.currentRatio,,0.17580717753949224,-0.04867017040930084
