,describe,Pearson,Spearman
count,246.0,,
mean,0.1818336722113821,,
std,0.29372958337287547,,
min,-0.488686824,,
25%,0.018200722,,
50%,0.140329806,,
75%,0.341025709,,
max,2.001555901,,
enterprise_value.annual_stock_increase,,1.0,1.0
key_metrics.salesGeneralAndAdministrativeToRevenue,,0.3269620532337981,0.1804354962249699
balance_sheet.othertotalStockholdersEquity,,0.2782862975833903,0.2783962937742445
income_statement_growht.growthOperatingIncome,,0.2595818807602843,0.14174056482282496
enterprise_value.stockPrice,,0.23050959848515581,0.24554610438172536
key_metrics.currentRatio,,0.21247676143084196,0.13668258230866834
ratio.currentRatio,,0.21247676143084196,0.13668258230866834
ratio.quickRatio,,0.1979121137898748,0.10572778116208663
key_metrics.capexToDepreciation,,0.19393178646138684,0.14491894584892887
income_statement_growht.growthEBITDARatio,,0.18851309510153197,0.17367921417365323
cash_flow.netCashUsedProvidedByFinancingActivities,,0.18797718804765415,0.10580786914311276
financial_growth.fiveYOperatingCFGrowthPerShare,,0.18124587555755411,0.08150910690313189
income_statement_growht.growthEBITDA,,0.1809288551434107,0.15946459084868048
ratio.cashRatio,,0.17312530107220014,0.16767879609760278
financial_growth.receivablesGrowth,,0.16996727401567718,0.17374024622890322
key_metrics.stockBasedCompensationToRevenue,,0.15418347786352626,0.15814741506934074
income_statement_growht.growthIncomeBeforeTax,,0.15210788784491525,0.09551372601343264
income_statement_growht.growthIncomeBeforeTaxRatio,,0.1515569848097961,0.11374205930320302
key_metrics.netCurrentAssetValue,,0.15076182841197824,0.17585267827569465
cash_flow.commonStockRepurchased,,0.1478747517834312,0.13614943224169204
income_statement.incomeBeforeTaxRatio,,0.14469942321100637,0.10690203938034945
ratio.ebitPerRevenue,,0.14325867655161612,0.09964956375530559
ratio.pretaxProfitMargin,,0.14325867655161612,0.09964956375530559
cash_flow.inventory,,0.1407303185568443,0.24030391480128124
income_statement.operatingIncomeRatio,,0.14048820495344636,0.09309354515514476
financial_growth.fiveYNetIncomeGrowthPerShare,,0.12967098048754563,0.0384981527532169
ratio.returnOnCapitalEmployed,,0.1289383316635182,0.07021763804480914
key_metrics.roic,,0.1289383316635182,0.07021763804480914
cash_flow.effectOfForexChangesOnCash,,0.12855460939168153,0.12983870967741937
key_metrics.grahamNetNet,,0.12236868698024471,0.11801207527300996
financial_growth.ebitgrowth,,0.12175993482691543,0.1307248633717168
financial_growth.operatingIncomeGrowth,,0.12175993482691543,0.1307248633717168
financial_growth.inventoryGrowth,,0.11761124583170571,0.13015059632158799
cash_flow.purchasesOfInvestments,,0.11529336942922037,0.08012319285465785
financial_growth.threeYRevenueGrowthPerShare,,0.11108258648033675,-0.03274585985021624
income_statement.netIncomeRatio,,0.1109914740147722,0.08866357527240214
financial_growth.netIncomeGrowth,,0.11055845665400411,0.03326182446355175
cash_flow.debtRepayment,,0.10943546250034634,0.07894178235126721
key_metrics.returnOnTangibleAssets,,0.10847227813314826,0.05561778358388739
ratio.priceEarningsRatio,,0.1076880800422385,0.3289802303042974
key_metrics.peRatio,,0.1076880800422385,0.3289802303042974
ratio.cashFlowCoverageRatios,,0.10583476203670474,0.09500020989882876
ratio.cashFlowToDebtRatio,,0.10583476203670474,0.09500020989882876
financial_growth.epsgrowth,,0.10582036051133996,0.03338049868187496
financial_growth.epsdilutedGrowth,,0.10571765765123523,0.033490258785434705
cash_flow.dividendsPaid,,0.105472880588877,0.10893515734089927
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,,0.10239251215065644,0.12307609845158511
ratio.netProfitMargin,,0.10107640536807098,0.07044116222640019
financial_growth.assetGrowth,,0.10098999616615063,0.16100498576079772
ratio.returnOnAssets,,0.10097112087208435,0.06995685983295293
cash_flow.capitalExpenditure,,0.10039872877399866,0.13934884749703258
cash_flow.investmentsInPropertyPlantAndEquipment,,0.10039872877399866,0.13934884749703258
ratio.enterpriseValueMultiple,,0.09741508894695493,0.3761960118036305
key_metrics.enterpriseValueOverEBITDA,,0.09741508894695493,0.3761960118036305
