,describe,Pearson,Spearman
count,267.0,,
mean,0.13129832586142323,,
std,0.2691044074828755,,
min,-0.467623508,,
25%,-0.053077473,,
50%,0.125730961,,
75%,0.2981503795,,
max,1.039680961,,
enterprise_value.annual_stock_increase,,1.0,1.0
ratio.priceToSalesRatio,,0.32977588340199604,0.3531874101644611
ratio.priceSalesRatio,,0.32977588340199604,0.3531874101644611
key_metrics.priceToSalesRatio,,0.32977588340199604,0.3531874101644611
key_metrics.evToSales,,0.2906401480306334,0.2920966289800371
ratio.pretaxProfitMargin,,0.24138088317140444,0.2005650290671088
ratio.ebitPerRevenue,,0.24138088317140444,0.2005650290671088
cash_flow.purchasesOfInvestments,,0.23998054047422107,0.20727246200371052
enterprise_value.stockPrice,,0.23266967001267944,0.24557361964785965
income_statement.operatingIncomeRatio,,0.22824731932561407,0.24206672746102273
cash_flow.capitalExpenditure,,0.21041646805336447,0.17832526436929846
cash_flow.investmentsInPropertyPlantAndEquipment,,0.21041646805336447,0.17832526436929846
income_statement_growht.growthSellingAndMarketingExpenses,,0.20610674084091773,0.26495169271840924
financial_growth.threeYDividendperShareGrowthPerShare,,0.20552404708528824,0.08911191897211417
income_statement.incomeBeforeTax,,0.1978341244473447,0.04522945875771532
ratio.netProfitMargin,,0.19716477745715422,0.17432527699242292
cash_flow.freeCashFlow,,0.19597592342619496,0.05578001256787602
income_statement_growht.growthEBITDA,,0.19570601419909706,0.12512372664009513
key_metrics.netCurrentAssetValue,,0.19328663653954647,0.10618533863979715
income_statement.totalOtherIncomeExpensesNet,,0.1932651062027883,0.046459939902778885
ratio.operatingProfitMargin,,0.1872039160539236,0.18026445394727
ratio.companyEquityMultiplier,,0.17896792387976662,-0.11008568551013441
cash_flow.debtRepayment,,0.17896791043423735,0.18907464455205047
key_metrics.debtToEquity,,0.1789154765209954,-0.11000781202657654
ratio.debtEquityRatio,,0.1789154765209954,-0.11000781202657654
cash_flow.netIncome,,0.17877135418558163,0.0258921364826877
