,describe,Pearson,Spearman
count,108.0,,
mean,0.12996752649074073,,
std,0.17604213934230378,,
min,-0.396626128,,
25%,0.041987972750000005,,
50%,0.10408408050000001,,
75%,0.20606543149999998,,
max,0.604551046,,
enterprise_value.annual_stock_increase,,1.0,1.0
key_metrics.researchAndDdevelopementToRevenue,,0.6316639782046652,0.4
income_statement.researchAndDevelopmentExpenses,,0.5985208800345858,0.4
ratio.longTermDebtToCapitalization,,0.308293134615493,0.043024919282333714
financial_growth.inventoryGrowth,,0.2725761271284841,0.1127199810620346
ratio.priceSalesRatio,,0.24749615400252573,0.29539888682745824
key_metrics.priceToSalesRatio,,0.24749615400252573,0.29539888682745824
ratio.priceToSalesRatio,,0.24749615400252573,0.29539888682745824
income_statement_growht.growthInterestExpense,,0.24288030985068443,-0.009962993894389817
key_metrics.evToSales,,0.2386447091045895,0.23043692147627098
financial_growth.debtGrowth,,0.2373757774923501,0.04095887458610083
key_metrics.debtToAssets,,0.23280892379672471,-0.01493347507223595
ratio.debtRatio,,0.23280892379672471,-0.01493347507223595
ratio.enterpriseValueMultiple,,0.22375393229726254,0.257103437356871
key_metrics.enterpriseValueOverEBITDA,,0.22375393229726254,0.257103437356871
key_metrics.freeCashFlowYield,,0.21585662267858638,0.21137909709338282
key_metrics.marketCap,,0.21486229656202052,0.062448979591836734
financial_growth.tenYRevenueGrowthPerShare,,0.21107569957752811,0.14205697215405955
ratio.priceEarningsRatio,,0.20748333071379493,0.3306122448979592
key_metrics.peRatio,,0.20748333071379493,0.3306122448979592
income_statement.interestExpense,,0.203851635420161,0.07835997071003693
key_metrics.roe,,0.2003112806881599,0.16197250793040469
ratio.returnOnEquity,,0.2003112806881599,0.16197250793040469
financial_growth.sgaexpensesGrowth,,0.19374310122554475,-0.17694377038727677
key_metrics.enterpriseValue,,0.19063095826052986,0.03643179851965779
balance_sheet.longTermInvestments,,0.1835777763008937,0.08535932041860239
financial_growth.weightedAverageSharesDilutedGrowth,,0.17578430821447438,0.05666966696669667
ratio.freeCashFlowOperatingCashFlowRatio,,0.17495740717706468,0.19264239387959356
enterprise_value.marketCapitalization,,0.17284918135337837,0.04307067935636914
cash_flow.accountsReceivables,,0.17096633721847174,0.15274791978762495
ratio.shortTermCoverageRatios,,0.16897245368153344,-0.06598056032018296
financial_growth.threeYOperatingCFGrowthPerShare,,0.16814070115964108,0.15563588628303845
financial_growth.weightedAverageSharesGrowth,,0.15746197811525978,-0.03819858925664677
enterprise_value.enterpriseValue,,0.15199444385954713,0.09231472748578125
ratio.assetTurnover,,0.15183974213677082,0.00347750366127418
cash_flow.cashAtBeginningOfPeriod,,0.1508171088448547,0.02585303251591088
enterprise_value.stockPrice,,0.14783166352015686,0.1359855954728629
financial_growth.assetGrowth,,0.14185518925294688,0.006495033209898313
financial_growth.receivablesGrowth,,0.13849625532511295,-0.23763508577474368
key_metrics.currentRatio,,0.12671176035214765,-0.0101497871089222
ratio.currentRatio,,0.12671176035214765,-0.0101497871089222
financial_growth.operatingIncomeGrowth,,0.12327421889904112,0.06590058582652482
financial_growth.ebitgrowth,,0.12327421889904112,0.06590058582652482
financial_growth.fiveYOperatingCFGrowthPerShare,,0.12092098085995712,0.15986343753334045
balance_sheet.longTermDebt,,0.11857203649901575,0.11493639652589242
financial_growth.freeCashFlowGrowth,,0.11690424923718394,0.2059993338427477
balance_sheet.otherNonCurrentAssets,,0.11500058887621577,0.15910985961863977
income_statement_growht.growthGeneralAndAdministrativeExpenses,,0.1051956235220928,-0.03613836310192935
income_statement_growht.growthWeightedAverageShsOutDil,,0.10423114249738095,0.1153949449434514
income_statement_growht.growthIncomeTaxExpense,,0.10412754258225373,-0.053474076314794165
financial_growth.operatingCashFlowGrowth,,0.10260592734092021,0.16934780965816057
key_metrics.grahamNetNet,,0.101287279519438,0.08525664811379097
balance_sheet.netDebt,,0.10020498698099717,0.10668114740823306
ratio.quickRatio,,0.10019500563603462,0.011744349763360116
enterprise_value.addTotalDebt,,0.09946879704634252,0.09970752712757343
ratio.cashRatio,,0.09880236665007396,-0.06956703665797762
balance_sheet.totalDebt,,0.09870400875032558,0.10226071050901712
financial_growth.fiveYDividendperShareGrowthPerShare,,0.09843916989229269,0.1626652901638624
key_metrics.capexPerShare,,0.09820899696865139,0.09214594928880643
ratio.cashPerShare,,0.09658176564515512,-0.001100803957946815
balance_sheet.totalNonCurrentLiabilities,,0.09480708992616235,0.07115110261126674
income_statement_growht.growthWeightedAverageShsOut,,0.09370654740542994,0.0957955088389871
ratio.totalDebtToCapitalization,,0.09364431417555154,0.029998094149037546
income_statement.costOfRevenue,,0.09173411605711718,0.06820238741699772
balance_sheet.otherNonCurrentLiabilities,,0.08965774497711444,0.09749807491751586
cash_flow.capitalExpenditure,,0.08866409208615829,0.13782178217821783
cash_flow.investmentsInPropertyPlantAndEquipment,,0.08866409208615829,0.13782178217821783
cash_flow.otherWorkingCapital,,0.07809549439221032,0.06261102427819949
key_metrics.cashPerShare,,0.07769980358021362,-0.13097133881119757
key_metrics.pocfratio,,0.07716586767585529,0.3499196042053185
ratio.priceToOperatingCashFlowsRatio,,0.07716586767585529,0.3499196042053185
ratio.priceCashFlowRatio,,0.07716586767585529,0.3499196042053185
income_statement.weightedAverageShsOutDil,,0.07657287968551285,-0.06394649535670618
income_statement.weightedAverageShsOut,,0.07592119830562201,-0.06503151067204736
enterprise_value.numberOfShares,,0.07592119830562201,-0.06503151067204736
income_statement_growht.growthRevenue,,0.07529531271637792,-0.05463621900216258
financial_growth.fiveYRevenueGrowthPerShare,,0.07165100409719757,0.018115864717806466
income_statement_growht.growthEBITDA,,0.06963625898029521,0.026779845094172455
cash_flow.cashAtEndOfPeriod,,0.06711179284559271,0.022771969268987387
balance_sheet.intangibleAssets,,0.0667064169272327,-0.14295918367346938
key_metrics.workingCapital,,0.06524191401258099,0.12167870127960825
balance_sheet.accountPayables,,0.06444257672006937,0.008545603944343037
key_metrics.pfcfRatio,,0.06394320647007776,0.12168212739641311
ratio.priceToFreeCashFlowsRatio,,0.06394320647007776,0.12168212739641311
key_metrics.inventoryTurnover,,0.0633394102379679,0.11332706564123114
ratio.inventoryTurnover,,0.0633394102379679,0.11332706564123114
key_metrics.payablesTurnover,,0.061969494354630505,0.10919655379683431
ratio.payablesTurnover,,0.061969494354630505,0.10919655379683431
balance_sheet.totalNonCurrentAssets,,0.05857506514985386,0.008964722246039232
income_statement_growht.growthEBITDARatio,,0.05686426586873134,0.036621033277125195
key_metrics.netCurrentAssetValue,,0.056476043217746255,0.08863393478125654
key_metrics.evToFreeCashFlow,,0.05307933772156429,0.15744892593199925
balance_sheet.totalCurrentAssets,,0.052779234018934626,-0.030371450074785408
balance_sheet.totalInvestments,,0.05232315398568471,0.09898267844706372
key_metrics.netDebtToEBITDA,,0.05192255206729231,0.04631582518617367
S&P500_INFO.Column1,,0.0482377760415235,-0.029131887849383687
balance_sheet.deferredRevenueNonCurrent,,0.04107583251485999,-0.045736871823828344
key_metrics.stockBasedCompensationToRevenue,,0.039181179933331554,0.08375834691624165
cash_flow.effectOfForexChangesOnCash,,0.03759188531431356,0.4
balance_sheet.propertyPlantEquipmentNet,,0.033182038038613026,-0.02523560414584925
balance_sheet.totalCurrentLiabilities,,0.03217127866749317,-0.02888526870349729
key_metrics.receivablesTurnover,,0.029652571380198826,0.10728240156968295
ratio.receivablesTurnover,,0.029652571380198826,0.10728240156968295
