,enterprise_value.annual_stock_increase
enterprise_value.annual_stock_increase,1
key_metrics.stockBasedCompensationToRevenue,0.189647428
financial_growth.revenueGrowth,0.157458114
enterprise_value.stockPrice,0.155575331
income_statement_growht.growthRevenue,0.146234174
key_metrics.roic,0.140286505
ratio.returnOnCapitalEmployed,0.140209191
ratio.currentRatio,0.132751085
key_metrics.currentRatio,0.132709812
financial_growth.receivablesGrowth,0.128949093
financial_growth.assetGrowth,0.123351398
ratio.returnOnAssets,0.121970294
income_statement.operatingIncomeRatio,0.116686473
ratio.cashRatio,0.112836399
financial_growth.rdexpenseGrowth,0.110975299
key_metrics.returnOnTangibleAssets,0.107155646
financial_growth.inventoryGrowth,0.106970748
income_statement.incomeBeforeTaxRatio,0.105178161
income_statement_growht.growthCostAndExpenses,0.081134443
ratio.pretaxProfitMargin,0.080382602
ratio.ebitPerRevenue,0.079896643
income_statement_growht.growthGrossProfit,0.07636152
income_statement.netIncomeRatio,0.071000236
income_statement_growht.growthResearchAndDevelopmentExpenses,0.070743134
balance_sheet.totalInvestments,0.069149901
cash_flow.accountsPayables,0.068816386
key_metrics.researchAndDdevelopementToRevenue,0.068781084
S&P500_INFO.CIK,0.066469196
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,0.065824902
income_statement_growht.growthIncomeBeforeTaxRatio,0.065570269
cash_flow.stockBasedCompensation,0.063770826
financial_growth.tenYDividendperShareGrowthPerShare,0.062436941
income_statement_growht.growthIncomeBeforeTax,0.061003558
income_statement.incomeTaxExpense,0.056443624
financial_growth.threeYDividendperShareGrowthPerShare,0.056407819
key_metrics.netCurrentAssetValue,0.055446238
cash_flow.otherWorkingCapital,0.05484061
key_metrics.netDebtToEBITDA,0.053737741
income_statement.incomeBeforeTax,0.05191165
ratio.operatingProfitMargin,0.051366315
financial_growth.threeYOperatingCFGrowthPerShare,0.05123836
financial_growth.threeYRevenueGrowthPerShare,0.049845889
income_statement_growht.growthCostOfRevenue,0.049641078
financial_growth.threeYShareholdersEquityGrowthPerShare,0.048030625
ratio.netProfitMargin,0.047715953
ratio.daysOfSalesOutstanding,0.047129624
key_metrics.daysSalesOutstanding,0.047115781
income_statement.netIncome,0.042016221
cash_flow.investmentsInPropertyPlantAndEquipment,0.041403062
cash_flow.effectOfForexChangesOnCash,0.040663834
cash_flow.deferredIncomeTax,0.039863996
ratio.dividendPayoutRatio,0.039807177
key_metrics.payoutRatio,0.039567125
ratio.payoutRatio,0.039553492
cash_flow.capitalExpenditure,0.038583799
ratio.quickRatio,0.038439736
cash_flow.netIncome,0.038227187
cash_flow.salesMaturitiesOfInvestments,0.035223607
cash_flow.inventory,0.03462345
income_statement.totalOtherIncomeExpensesNet,0.032510703
financial_growth.operatingCashFlowGrowth,0.031788228
balance_sheet.otherCurrentLiabilities,0.031489815
financial_growth.epsgrowth,0.030633321
financial_growth.epsdilutedGrowth,0.0305696
financial_growth.netIncomeGrowth,0.030290415
income_statement.operatingIncome,0.027444856
cash_flow.netChangeInCash,0.027166504
cash_flow.freeCashFlow,0.026812489
key_metrics.salesGeneralAndAdministrativeToRevenue,0.026411404
financial_growth.grossProfitGrowth,0.025551275
key_metrics.workingCapital,0.02321902
ratio.cashFlowToDebtRatio,0.022502143
ratio.cashFlowCoverageRatios,0.022502143
