dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.evToOperatingCashFlow,9.666,2.1,4.602,0,0.237,21.18,70
key_metrics.inventoryTurnover,38.3191,13.138,2.917,0.006,0.205,8.507,35
ratio.inventoryTurnover,38.3191,13.138,2.917,0.006,0.205,8.507,35
key_metrics.pocfratio,11.3419,2.713,4.18,0,0.2,17.48,72
ratio.priceToOperatingCashFlowsRatio,11.3419,2.713,4.18,0,0.2,17.48,72
ratio.priceCashFlowRatio,11.3419,2.713,4.18,0,0.2,17.48,72
key_metrics.enterpriseValueOverEBITDA,13.1047,3.127,4.191,0,0.198,17.56,73
ratio.enterpriseValueMultiple,13.1047,3.127,4.191,0,0.198,17.56,73
key_metrics.pbRatio,3.987,0.97,4.111,0,0.194,16.9,72
key_metrics.ptbRatio,3.987,0.97,4.111,0,0.194,16.9,72
ratio.priceBookValueRatio,3.987,0.97,4.111,0,0.194,16.9,72
ratio.priceToBookRatio,3.987,0.97,4.111,0,0.194,16.9,72
ratio.priceFairValue,3.987,0.97,4.111,0,0.194,16.9,72
key_metrics.earningsYield,-0.0677,0.018,-3.745,0,0.171,14.03,70
financial_growth.tenYOperatingCFGrowthPerShare,4.3245,1.227,3.524,0.001,0.162,12.42,66
cash_flow.commonStockIssued,83810000,42400000,1.975,0.062,0.157,3.899,23
key_metrics.pfcfRatio,15.1874,4.689,3.239,0.002,0.135,10.49,69
ratio.priceToFreeCashFlowsRatio,15.1874,4.689,3.239,0.002,0.135,10.49,69
key_metrics.evToFreeCashFlow,13.0516,4.253,3.069,0.003,0.13,9.418,65
key_metrics.daysOfInventoryOnHand,-12.3889,5.827,-2.126,0.042,0.127,4.521,33
ratio.daysOfInventoryOutstanding,-12.3889,5.827,-2.126,0.042,0.127,4.521,33
key_metrics.priceToSalesRatio,3.7377,1.179,3.171,0.002,0.123,10.05,74
ratio.priceToSalesRatio,3.7377,1.179,3.171,0.002,0.123,10.05,74
ratio.priceSalesRatio,3.7377,1.179,3.171,0.002,0.123,10.05,74
key_metrics.evToSales,3.4434,1.089,3.162,0.002,0.122,9.999,74
key_metrics.receivablesTurnover,4.8636,1.683,2.89,0.005,0.12,8.35,63
ratio.receivablesTurnover,4.8636,1.683,2.89,0.005,0.12,8.35,63
cash_flow.dividendsPaid,-1831000000,1050000000,-1.748,0.091,0.095,3.055,31
financial_growth.ebitgrowth,0.3104,0.111,2.791,0.007,0.093,7.788,78
financial_growth.operatingIncomeGrowth,0.3104,0.111,2.791,0.007,0.093,7.788,78
enterprise_value.stockPrice,54.141,20.301,2.667,0.01,0.093,7.112,71
income_statement_growht.growthGrossProfit,0.1384,0.053,2.607,0.011,0.091,6.798,70
financial_growth.grossProfitGrowth,0.1324,0.051,2.578,0.012,0.09,6.646,69
financial_growth.fiveYOperatingCFGrowthPerShare,0.7843,0.307,2.551,0.013,0.089,6.507,69
financial_growth.fiveYRevenueGrowthPerShare,0.453,0.182,2.495,0.015,0.079,6.226,75
key_metrics.netCurrentAssetValue,14810000000,7200000000,2.057,0.045,0.078,4.233,52
balance_sheet.cashAndShortTermInvestments,2748000000,1150000000,2.395,0.019,0.075,5.738,73
balance_sheet.taxAssets,678900000,482000000,1.408,0.171,0.068,1.982,29
key_metrics.freeCashFlowYield,-0.0378,0.017,-2.162,0.034,0.067,4.675,67
cash_flow.commonStockRepurchased,-2211000000,1350000000,-1.639,0.109,0.066,2.687,40
financial_growth.assetGrowth,0.1189,0.051,2.335,0.022,0.066,5.453,79
key_metrics.stockBasedCompensationToRevenue,0.0247,0.012,2.127,0.037,0.065,4.523,67
balance_sheet.netDebt,-8516000000,4020000000,-2.117,0.038,0.064,4.481,67
financial_growth.fiveYDividendperShareGrowthPerShare,1.0148,0.696,1.459,0.155,0.064,2.128,33
ratio.cashPerShare,6.62,3.049,2.171,0.033,0.064,4.713,71
ratio.cashRatio,0.3834,0.186,2.063,0.043,0.063,4.256,65
key_metrics.intangiblesToTotalAssets,-0.2098,0.098,-2.151,0.035,0.059,4.628,76
cash_flow.inventory,-57010000,52100000,-1.095,0.286,0.057,1.199,22
financial_growth.sgaexpensesGrowth,0.1166,0.057,2.03,0.046,0.056,4.122,72
key_metrics.incomeQuality,1.0057,0.543,1.852,0.069,0.056,3.431,60
key_metrics.averageInventory,-874900000,547000000,-1.598,0.117,0.054,2.555,47
ratio.priceEarningsToGrowthRatio,4.3861,2.47,1.776,0.081,0.054,3.153,57
cash_flow.purchasesOfInvestments,-1213000000,863000000,-1.406,0.169,0.053,1.976,37
ratio.operatingCycle,-32.1752,18.525,-1.737,0.088,0.052,3.017,57
cash_flow.accountsPayables,229000000,154000000,1.492,0.143,0.051,2.225,43
