dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
income_statement_growht.growthResearchAndDevelopmentExpenses,0.4019,0.087,4.621,0,0.504,21.35,23
financial_growth.rdexpenseGrowth,0.2763,0.112,2.475,0.02,0.18,6.127,30
key_metrics.peRatio,12.5647,2.143,5.864,0,0.16,34.39,183
ratio.priceEarningsRatio,12.5647,2.143,5.864,0,0.16,34.39,183
key_metrics.pocfratio,9.6325,1.587,6.071,0,0.156,36.85,201
ratio.priceToOperatingCashFlowsRatio,9.6325,1.587,6.071,0,0.156,36.85,201
ratio.priceCashFlowRatio,9.6325,1.587,6.071,0,0.156,36.85,201
key_metrics.priceToSalesRatio,1.5037,0.261,5.759,0,0.141,33.17,204
ratio.priceToSalesRatio,1.5037,0.261,5.759,0,0.141,33.17,204
ratio.priceSalesRatio,1.5037,0.261,5.759,0,0.141,33.17,204
key_metrics.evToSales,1.4773,0.268,5.504,0,0.131,30.29,203
key_metrics.dividendYield,-0.0177,0.004,-4.583,0,0.126,21,148
ratio.dividendYield,-0.0177,0.004,-4.583,0,0.126,21,148
key_metrics.enterpriseValueOverEBITDA,6.6314,1.255,5.286,0,0.125,27.94,198
ratio.enterpriseValueMultiple,6.6314,1.255,5.286,0,0.125,27.94,198
key_metrics.evToOperatingCashFlow,8.933,1.689,5.289,0,0.124,27.97,200
key_metrics.researchAndDdevelopementToRevenue,0.0807,0.043,1.892,0.07,0.121,3.581,28
cash_flow.effectOfForexChangesOnCash,15600000,5390000,2.895,0.005,0.101,8.383,77
financial_growth.threeYOperatingCFGrowthPerShare,0.6128,0.129,4.744,0,0.096,22.51,215
cash_flow.otherFinancingActivites,83020000,24500000,3.39,0.001,0.073,11.49,149
key_metrics.earningsYield,-0.0255,0.007,-3.902,0,0.072,15.22,198
balance_sheet.taxPayables,-46060000,22000000,-2.098,0.04,0.066,4.4,64
key_metrics.intangiblesToTotalAssets,-0.1438,0.04,-3.604,0,0.064,12.99,193
balance_sheet.totalInvestments,580700000,262000000,2.22,0.029,0.061,4.931,78
income_statement_growht.growthIncomeBeforeTaxRatio,0.1786,0.051,3.497,0.001,0.059,12.23,197
income_statement_growht.growthGrossProfitRatio,0.029,0.008,3.488,0.001,0.058,12.17,198
financial_growth.operatingCashFlowGrowth,0.2272,0.064,3.56,0,0.057,12.67,212
income_statement_growht.growthGrossProfit,0.0728,0.021,3.473,0.001,0.057,12.06,200
income_statement_growht.growthOperatingIncome,0.1506,0.044,3.393,0.001,0.057,11.51,194
ratio.freeCashFlowOperatingCashFlowRatio,0.1419,0.042,3.416,0.001,0.057,11.67,194
key_metrics.pfcfRatio,8.7386,2.716,3.217,0.002,0.053,10.35,186
ratio.priceToFreeCashFlowsRatio,8.7386,2.716,3.217,0.002,0.053,10.35,186
financial_growth.netIncomeGrowth,0.2419,0.076,3.171,0.002,0.052,10.05,185
enterprise_value.stockPrice,41.9859,12.582,3.337,0.001,0.051,11.14,209
financial_growth.epsgrowth,0.2637,0.083,3.159,0.002,0.05,9.979,192
financial_growth.epsdilutedGrowth,0.2616,0.083,3.153,0.002,0.05,9.944,192
income_statement.sellingAndMarketingExpenses,-2622000000,2020000000,-1.3,0.203,0.049,1.691,35
income_statement_growht.growthNetIncome,0.2583,0.083,3.126,0.002,0.049,9.774,190
income_statement_growht.growthIncomeBeforeTax,0.2094,0.067,3.119,0.002,0.048,9.731,197
financial_growth.threeYNetIncomeGrowthPerShare,0.5659,0.179,3.168,0.002,0.047,10.04,206
financial_growth.grossProfitGrowth,0.0643,0.021,3.096,0.002,0.046,9.586,202
key_metrics.pbRatio,3.1033,1.068,2.905,0.004,0.046,8.441,177
key_metrics.ptbRatio,3.1033,1.068,2.905,0.004,0.046,8.441,177
ratio.priceBookValueRatio,3.1033,1.068,2.905,0.004,0.046,8.441,177
ratio.priceToBookRatio,3.1033,1.068,2.905,0.004,0.046,8.441,177
ratio.priceFairValue,3.1033,1.068,2.905,0.004,0.046,8.441,177
balance_sheet.shortTermDebt,-407600000,169000000,-2.417,0.017,0.045,5.841,127
financial_growth.fiveYOperatingCFGrowthPerShare,0.5879,0.192,3.054,0.003,0.042,9.329,213
financial_growth.sgaexpensesGrowth,0.0556,0.019,2.929,0.004,0.042,8.58,200
balance_sheet.otherNonCurrentLiabilities,-456700000,162000000,-2.821,0.005,0.039,7.959,198
ratio.cashConversionCycle,-32.536,12.202,-2.666,0.008,0.036,7.109,194
ratio.netIncomePerEBT,-0.0969,0.037,-2.625,0.009,0.035,6.891,193
balance_sheet.longTermInvestments,382400000,243000000,1.572,0.12,0.034,2.471,72
financial_growth.fiveYRevenueGrowthPerShare,0.3273,0.117,2.792,0.006,0.034,7.794,226
income_statement_growht.growthOperatingIncomeRatio,0.1173,0.045,2.606,0.01,0.034,6.789,195
