dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.interestDebtPerShare,11.578,3.075,3.766,0,0.149,14.18,83
key_metrics.grahamNetNet,-19.4665,5.507,-3.535,0.001,0.134,12.5,83
enterprise_value.stockPrice,53.7625,14.947,3.597,0.001,0.126,12.94,92
financial_growth.tenYShareholdersEquityGrowthPerShare,1.3922,0.416,3.35,0.001,0.124,11.23,81
key_metrics.pocfratio,5.9982,1.812,3.31,0.001,0.123,10.95,80
ratio.priceToOperatingCashFlowsRatio,5.9982,1.812,3.31,0.001,0.123,10.95,80
ratio.priceCashFlowRatio,5.9982,1.812,3.31,0.001,0.123,10.95,80
key_metrics.pbRatio,1.1243,0.344,3.266,0.002,0.118,10.67,82
key_metrics.ptbRatio,1.1243,0.344,3.266,0.002,0.118,10.67,82
ratio.priceBookValueRatio,1.1243,0.344,3.266,0.002,0.118,10.67,82
ratio.priceToBookRatio,1.1243,0.344,3.266,0.002,0.118,10.67,82
ratio.priceFairValue,1.1243,0.344,3.266,0.002,0.118,10.67,82
key_metrics.enterpriseValueOverEBITDA,7.6583,2.621,2.922,0.005,0.105,8.537,75
ratio.enterpriseValueMultiple,7.6583,2.621,2.922,0.005,0.105,8.537,75
cash_flow.commonStockIssued,756600000,377000000,2.005,0.052,0.098,4.02,39
key_metrics.researchAndDdevelopementToRevenue,0.0269,0.014,1.868,0.071,0.098,3.49,34
balance_sheet.otherCurrentAssets,-788900000,300000000,-2.632,0.011,0.095,6.929,68
financial_growth.threeYDividendperShareGrowthPerShare,0.6627,0.244,2.71,0.008,0.094,7.347,73
key_metrics.intangiblesToTotalAssets,-0.2018,0.085,-2.385,0.02,0.089,5.688,60
key_metrics.daysSalesOutstanding,-38.724,13.442,-2.881,0.005,0.087,8.3,89
ratio.daysOfSalesOutstanding,-38.724,13.442,-2.881,0.005,0.087,8.3,89
key_metrics.evToOperatingCashFlow,6.9188,2.447,2.828,0.006,0.086,7.995,87
ratio.assetTurnover,-0.3088,0.116,-2.662,0.009,0.084,7.089,79
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.6292,0.233,2.702,0.008,0.081,7.299,85
balance_sheet.intangibleAssets,-3114000000,1820000000,-1.71,0.096,0.077,2.925,37
key_metrics.receivablesTurnover,4.3475,1.663,2.614,0.011,0.077,6.832,84
ratio.receivablesTurnover,4.3475,1.663,2.614,0.011,0.077,6.832,84
balance_sheet.otherAssets,-665800000,289000000,-2.305,0.024,0.074,5.312,68
ratio.operatingCycle,-55.9951,21.299,-2.629,0.01,0.074,6.912,88
balance_sheet.otherCurrentLiabilities,-337800000,180000000,-1.88,0.066,0.069,3.533,50
income_statement_growht.growthResearchAndDevelopmentExpenses,0.434,0.249,1.74,0.089,0.069,3.028,43
financial_growth.assetGrowth,0.1032,0.043,2.408,0.018,0.068,5.797,81
balance_sheet.taxAssets,-956400000,748000000,-1.279,0.214,0.066,1.635,25
financial_growth.netIncomeGrowth,1.3807,0.592,2.332,0.022,0.065,5.437,80
balance_sheet.propertyPlantEquipmentNet,13260000000,5590000000,2.372,0.02,0.063,5.628,85
income_statement_growht.growthCostAndExpenses,-0.2696,0.112,-2.398,0.019,0.063,5.751,87
financial_growth.threeYRevenueGrowthPerShare,-0.4784,0.208,-2.298,0.024,0.057,5.282,89
financial_growth.threeYNetIncomeGrowthPerShare,1.3233,0.62,2.136,0.036,0.054,4.562,82
key_metrics.pfcfRatio,-18.1403,9.665,-1.877,0.065,0.052,3.523,66
key_metrics.capexToRevenue,10.4107,4.964,2.097,0.039,0.052,4.398,82
ratio.priceToFreeCashFlowsRatio,-18.1403,9.665,-1.877,0.065,0.052,3.523,66
balance_sheet.otherLiabilities,-276400000,175000000,-1.577,0.122,0.051,2.486,48
key_metrics.daysOfInventoryOnHand,-16.5806,8.319,-1.993,0.05,0.05,3.973,78
ratio.daysOfInventoryOutstanding,-16.5806,8.319,-1.993,0.05,0.05,3.973,78
financial_growth.tenYDividendperShareGrowthPerShare,1.7785,0.926,1.92,0.059,0.049,3.685,74
enterprise_value.marketCapitalization,16030000000,7810000000,2.052,0.043,0.049,4.21,84
income_statement_growht.growthInterestExpense,0.1834,0.095,1.936,0.057,0.048,3.748,76
ratio.cashConversionCycle,-40.9029,20.138,-2.031,0.045,0.048,4.126,84
ratio.priceEarningsToGrowthRatio,-5.7816,3.341,-1.73,0.089,0.048,2.995,61
key_metrics.evToSales,1.8367,0.896,2.05,0.043,0.047,4.203,87
key_metrics.capexToOperatingCashFlow,0.6139,0.315,1.948,0.055,0.045,3.795,83
ratio.fixedAssetTurnover,-1.1718,0.689,-1.7,0.094,0.045,2.89,63
ratio.capitalExpenditureCoverageRatio,0.6139,0.315,1.948,0.055,0.045,3.795,83
income_statement_growht.growthNetIncome,0.9962,0.543,1.836,0.07,0.043,3.372,77
key_metrics.inventoryTurnover,6.5929,3.517,1.874,0.065,0.043,3.513,80
ratio.inventoryTurnover,6.5929,3.517,1.874,0.065,0.043,3.513,80
income_statement.revenue,-7247000000,4040000000,-1.793,0.077,0.042,3.215,75
key_metrics.averageReceivables,-1920000000,1030000000,-1.869,0.065,0.042,3.494,82
balance_sheet.goodwill,-3051000000,2240000000,-1.363,0.18,0.04,1.859,47
balance_sheet.longTermInvestments,4011000000,3270000000,1.226,0.228,0.04,1.504,38
income_statement.incomeTaxExpense,-454200000,252000000,-1.802,0.075,0.04,3.247,80
balance_sheet.netReceivables,-2002000000,1090000000,-1.829,0.071,0.039,3.346,85
income_statement.weightedAverageShsOut,-276100000,153000000,-1.8,0.076,0.039,3.238,81
income_statement.weightedAverageShsOutDil,-276800000,154000000,-1.8,0.076,0.039,3.239,81
key_metrics.marketCap,13680000000,7840000000,1.745,0.085,0.039,3.046,77
enterprise_value.numberOfShares,-276100000,153000000,-1.8,0.076,0.039,3.238,81
balance_sheet.otherNonCurrentAssets,-462200000,275000000,-1.678,0.098,0.038,2.816,73
financial_growth.fiveYNetIncomeGrowthPerShare,0.6787,0.414,1.639,0.106,0.037,2.685,72
cash_flow.stockBasedCompensation,-33020000,26100000,-1.266,0.212,0.035,1.603,46
income_statement_growht.growthNetIncomeRatio,0.8029,0.49,1.637,0.106,0.035,2.681,77
income_statement.depreciationAndAmortization,-802800000,740000000,-1.084,0.286,0.033,1.176,37
income_statement_growht.growthEPS,0.8788,0.543,1.62,0.109,0.033,2.623,78
income_statement_growht.growthEPSDiluted,0.8777,0.542,1.618,0.11,0.033,2.618,78
financial_growth.epsgrowth,0.9126,0.579,1.575,0.119,0.031,2.48,80
financial_growth.epsdilutedGrowth,0.9137,0.579,1.579,0.118,0.031,2.492,80
income_statement_growht.growthOperatingExpenses,-0.1912,0.122,-1.561,0.123,0.031,2.437,79
enterprise_value.enterpriseValue,17840000000,11100000000,1.611,0.111,0.03,2.596,86
financial_growth.fiveYOperatingCFGrowthPerShare,0.2953,0.194,1.519,0.133,0.029,2.307,80
cash_flow.otherInvestingActivites,223700000,162000000,1.38,0.172,0.028,1.904,67
balance_sheet.deferredTaxLiabilitiesNonCurrent,1458000000,1040000000,1.404,0.164,0.026,1.972,75
cash_flow.otherNonCashItems,-113600000,88300000,-1.287,0.203,0.025,1.657,66
income_statement.costAndExpenses,-4930000000,3590000000,-1.374,0.174,0.025,1.888,76
key_metrics.bookValuePerShare,13.2324,9.112,1.452,0.15,0.025,2.109,84
key_metrics.tangibleBookValuePerShare,23.88,16.429,1.454,0.15,0.025,2.113,86
key_metrics.shareholdersEquityPerShare,13.2324,9.112,1.452,0.15,0.025,2.109,84
ratio.operatingProfitMargin,-0.083,0.06,-1.387,0.169,0.024,1.925,80
financial_growth.threeYOperatingCFGrowthPerShare,-0.4834,0.354,-1.366,0.176,0.022,1.866,86
income_statement.eps,2.419,1.759,1.375,0.173,0.022,1.891,87
income_statement.epsdiluted,2.4148,1.754,1.377,0.172,0.022,1.896,87
key_metrics.evToFreeCashFlow,-16.9171,13.343,-1.268,0.209,0.022,1.608,72
ratio.dividendPaidAndCapexCoverageRatio,-1.275,1.012,-1.26,0.212,0.022,1.588,71
balance_sheet.goodwillAndIntangibleAssets,-2056000000,1950000000,-1.056,0.296,0.021,1.116,54
ratio.netProfitMargin,-0.0677,0.053,-1.271,0.208,0.021,1.616,76
key_metrics.grahamNumber,18.7145,14.717,1.272,0.207,0.019,1.617,84
key_metrics.roic,-0.0415,0.033,-1.26,0.211,0.019,1.588,85
ratio.pretaxProfitMargin,-0.0736,0.061,-1.21,0.23,0.019,1.464,77
ratio.returnOnCapitalEmployed,-0.0415,0.033,-1.26,0.211,0.019,1.588,85
ratio.ebitPerRevenue,-0.0736,0.061,-1.21,0.23,0.019,1.464,77
balance_sheet.totalCurrentLiabilities,-2293000000,1850000000,-1.24,0.219,0.018,1.536,86
balance_sheet.totalNonCurrentLiabilities,5376000000,4540000000,1.184,0.24,0.017,1.401,84
financial_growth.receivablesGrowth,0.1319,0.112,1.179,0.242,0.016,1.391,88
income_statement.costOfRevenue,-4538000000,4170000000,-1.087,0.281,0.016,1.182,75
income_statement_growht.growthGrossProfitRatio,0.0421,0.038,1.105,0.272,0.016,1.222,79
key_metrics.workingCapital,-1302000000,1140000000,-1.145,0.256,0.016,1.311,84
key_metrics.capexPerShare,-1.6791,1.478,-1.136,0.259,0.016,1.291,80
income_statement_growht.growthWeightedAverageShsOutDil,0.0146,0.015,1,0.321,0.015,0.9998,69
key_metrics.returnOnTangibleAssets,-0.0281,0.025,-1.105,0.273,0.015,1.22,83
key_metrics.roe,-0.0583,0.052,-1.125,0.264,0.015,1.265,83
ratio.returnOnEquity,-0.0583,0.052,-1.125,0.264,0.015,1.265,83
financial_growth.revenueGrowth,0.1065,0.098,1.088,0.28,0.014,1.184,87
income_statement_growht.growthWeightedAverageShsOut,0.0145,0.015,0.971,0.335,0.014,0.9431,67
key_metrics.enterpriseValue,11940000000,11100000000,1.073,0.286,0.014,1.151,82
key_metrics.debtToEquity,-0.2489,0.228,-1.092,0.278,0.014,1.192,84
ratio.debtEquityRatio,-0.2489,0.228,-1.092,0.278,0.014,1.192,84
cash_flow.otherWorkingCapital,-286700000,337000000,-0.852,0.398,0.013,0.7259,56
income_statement_growht.growthOtherExpenses,0.1028,0.118,0.875,0.385,0.013,0.7659,62
key_metrics.cashPerShare,1.1516,1.147,1.004,0.319,0.013,1.007,77
ratio.returnOnAssets,-0.0249,0.024,-1.031,0.305,0.013,1.064,84
financial_growth.ebitgrowth,0.4467,0.449,0.996,0.322,0.012,0.9913,82
financial_growth.operatingIncomeGrowth,0.4467,0.449,0.996,0.322,0.012,0.9913,82
income_statement.operatingIncomeRatio,-0.0605,0.062,-0.97,0.335,0.012,0.941,78
income_statement.incomeBeforeTaxRatio,-0.0605,0.062,-0.97,0.335,0.012,0.941,78
cash_flow.netChangeInCash,266300000,291000000,0.915,0.363,0.011,0.8368,77
financial_growth.operatingCashFlowGrowth,0.1857,0.192,0.966,0.337,0.011,0.9338,87
key_metrics.freeCashFlowPerShare,1.0057,1.125,0.894,0.374,0.011,0.7997,76
ratio.freeCashFlowPerShare,1.0057,1.125,0.894,0.374,0.011,0.7997,76
financial_growth.threeYShareholdersEquityGrowthPerShare,0.1628,0.18,0.907,0.367,0.01,0.8221,85
financial_growth.fiveYDividendperShareGrowthPerShare,0.5054,0.582,0.869,0.388,0.01,0.7552,77
income_statement.netIncomeRatio,-0.0465,0.054,-0.856,0.395,0.01,0.7321,77
key_metrics.currentRatio,-0.2466,0.261,-0.946,0.347,0.01,0.8957,87
ratio.currentRatio,-0.2466,0.261,-0.946,0.347,0.01,0.8957,87
balance_sheet.totalNonCurrentAssets,7750000000,8940000000,0.867,0.388,0.009,0.7522,85
balance_sheet.totalLiabilities,5254000000,6000000000,0.876,0.384,0.009,0.7667,85
income_statement_growht.growthIncomeBeforeTax,0.4322,0.522,0.828,0.41,0.009,0.6859,80
key_metrics.netIncomePerShare,1.5419,1.793,0.86,0.393,0.009,0.7392,80
cash_flow.accountsPayables,-82490000,113000000,-0.727,0.47,0.008,0.5287,66
income_statement_growht.growthEBITDARatio,0.1999,0.263,0.761,0.449,0.008,0.5787,75
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,4124000000,5500000000,0.75,0.455,0.007,0.5629,83
cash_flow.depreciationAndAmortization,-370200000,742000000,-0.499,0.621,0.007,0.2488,37
cash_flow.accountsReceivables,-45720000,86700000,-0.527,0.601,0.007,0.2782,41
cash_flow.otherFinancingActivites,-34990000,48900000,-0.716,0.476,0.007,0.5127,74
key_metrics.earningsYield,-0.0179,0.025,-0.716,0.476,0.007,0.5128,77
ratio.effectiveTaxRate,0.0864,0.121,0.714,0.477,0.007,0.51,76
cash_flow.netIncome,577900000,854000000,0.677,0.5,0.006,0.4583,82
cash_flow.inventory,48850000,72000000,0.679,0.499,0.006,0.4607,81
cash_flow.purchasesOfInvestments,192600000,484000000,0.398,0.694,0.006,0.1586,29
financial_growth.weightedAverageSharesDilutedGrowth,0.0094,0.015,0.645,0.521,0.006,0.4156,72
income_statement_growht.growthCostOfRevenue,-0.0747,0.102,-0.729,0.468,0.006,0.5309,87
income_statement_growht.growthGeneralAndAdministrativeExpenses,-0.0509,0.074,-0.685,0.496,0.006,0.4688,79
key_metrics.peRatio,-8.1543,12.282,-0.664,0.509,0.006,0.4408,72
key_metrics.priceToSalesRatio,0.4651,0.653,0.713,0.478,0.006,0.5079,80
key_metrics.netCurrentAssetValue,-3049000000,4610000000,-0.661,0.511,0.006,0.4367,77
ratio.priceToSalesRatio,0.4651,0.653,0.713,0.478,0.006,0.5079,80
ratio.priceEarningsRatio,-8.1543,12.282,-0.664,0.509,0.006,0.4408,72
ratio.priceSalesRatio,0.4651,0.653,0.713,0.478,0.006,0.5079,80
balance_sheet.totalCurrentAssets,-1961000000,3090000000,-0.634,0.528,0.005,0.4023,89
cash_flow.dividendsPaid,-227600000,381000000,-0.598,0.551,0.005,0.3578,80
financial_growth.weightedAverageSharesGrowth,0.0086,0.015,0.566,0.573,0.005,0.3205,70
income_statement.netIncome,574100000,878000000,0.654,0.515,0.005,0.428,82
key_metrics.payoutRatio,0.1551,0.276,0.561,0.577,0.005,0.315,64
key_metrics.stockBasedCompensationToRevenue,-0.0023,0.004,-0.563,0.575,0.005,0.3174,66
ratio.payoutRatio,0.1551,0.276,0.561,0.577,0.005,0.315,64
ratio.dividendPayoutRatio,0.163,0.284,0.575,0.568,0.005,0.3305,62
balance_sheet.cashAndShortTermInvestments,-368800000,672000000,-0.549,0.584,0.004,0.3015,85
balance_sheet.totalLiabilitiesAndStockholdersEquity,5813000000,9970000000,0.583,0.561,0.004,0.34,85
cash_flow.cashAtBeginningOfPeriod,-410900000,712000000,-0.577,0.565,0.004,0.3333,86
financial_growth.tenYNetIncomeGrowthPerShare,0.327,0.599,0.546,0.587,0.004,0.2979,74
financial_growth.inventoryGrowth,-0.0494,0.088,-0.56,0.577,0.004,0.3134,81
income_statement.operatingExpenses,295000000,543000000,0.543,0.589,0.004,0.2947,79
income_statement.interestExpense,-67800000,122000000,-0.554,0.581,0.004,0.3064,84
income_statement.totalOtherIncomeExpensesNet,134900000,275000000,0.49,0.626,0.004,0.2398,70
income_statement_growht.growthIncomeBeforeTaxRatio,0.2754,0.496,0.555,0.58,0.004,0.3085,80
key_metrics.operatingCashFlowPerShare,1.2315,2.124,0.58,0.564,0.004,0.3362,86
ratio.quickRatio,-0.1218,0.2,-0.61,0.544,0.004,0.3717,85
ratio.operatingCashFlowPerShare,1.2315,2.124,0.58,0.564,0.004,0.3362,86
financial_growth.debtGrowth,0.0296,0.061,0.483,0.63,0.003,0.2334,83
income_statement.otherExpenses,-16860000,39900000,-0.423,0.674,0.003,0.1786,60
income_statement.incomeBeforeTax,-440100000,899000000,-0.49,0.626,0.003,0.2398,80
income_statement_growht.growthGrossProfit,0.0671,0.139,0.483,0.63,0.003,0.2334,83
income_statement_growht.growthEBITDA,-0.1739,0.35,-0.497,0.62,0.003,0.2471,81
income_statement_growht.growthOperatingIncome,0.25,0.544,0.459,0.647,0.003,0.211,81
ratio.grossProfitMargin,0.0591,0.12,0.493,0.623,0.003,0.2434,90
balance_sheet.inventory,-347100000,898000000,-0.387,0.7,0.002,0.1495,83
balance_sheet.totalAssets,4401000000,10500000000,0.421,0.675,0.002,0.1771,85
balance_sheet.longTermDebt,1477000000,3370000000,0.438,0.663,0.002,0.1917,87
balance_sheet.totalDebt,1311000000,3550000000,0.369,0.713,0.002,0.1365,86
cash_flow.deferredIncomeTax,-107400000,257000000,-0.417,0.678,0.002,0.174,78
cash_flow.investmentsInPropertyPlantAndEquipment,-263900000,691000000,-0.382,0.704,0.002,0.1457,85
cash_flow.capitalExpenditure,-263900000,691000000,-0.382,0.704,0.002,0.1457,85
financial_growth.fiveYRevenueGrowthPerShare,0.0604,0.136,0.443,0.659,0.002,0.1961,86
income_statement.ebitda,-467900000,1150000000,-0.406,0.686,0.002,0.1645,84
income_statement.operatingIncome,-265000000,726000000,-0.365,0.716,0.002,0.1333,85
income_statement_growht.growthDepreciationAndAmortization,0.0205,0.051,0.403,0.688,0.002,0.1623,69
key_metrics.interestCoverage,-1.395,3.299,-0.423,0.674,0.002,0.1789,81
key_metrics.incomeQuality,-0.5361,1.27,-0.422,0.674,0.002,0.1781,75
key_metrics.tangibleAssetValue,1236000000,3510000000,0.352,0.726,0.002,0.1242,56
ratio.interestCoverage,-1.395,3.299,-0.423,0.674,0.002,0.1789,81
ratio.companyEquityMultiplier,-0.1,0.27,-0.37,0.713,0.002,0.1367,86
