dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.enterpriseValueOverEBITDA,5.9642,1.109,5.376,0,0.125,28.9,204
ratio.enterpriseValueMultiple,5.9642,1.109,5.376,0,0.125,28.9,204
cash_flow.salesMaturitiesOfInvestments,-1432000000,444000000,-3.229,0.002,0.113,10.43,84
key_metrics.priceToSalesRatio,1.7823,0.35,5.099,0,0.11,26,213
ratio.priceToSalesRatio,1.7823,0.35,5.099,0,0.11,26,213
ratio.priceSalesRatio,1.7823,0.35,5.099,0,0.11,26,213
key_metrics.dividendYield,-0.0119,0.003,-4.578,0,0.105,20.96,181
ratio.dividendYield,-0.0119,0.003,-4.578,0,0.105,20.96,181
key_metrics.peRatio,10.8349,2.378,4.557,0,0.095,20.77,200
ratio.priceEarningsRatio,10.8349,2.378,4.557,0,0.095,20.77,200
key_metrics.pocfratio,7.3096,1.582,4.622,0,0.094,21.36,208
ratio.priceToOperatingCashFlowsRatio,7.3096,1.582,4.622,0,0.094,21.36,208
ratio.priceCashFlowRatio,7.3096,1.582,4.622,0,0.094,21.36,208
key_metrics.freeCashFlowYield,-0.0212,0.005,-3.905,0,0.072,15.25,199
key_metrics.evToOperatingCashFlow,6.7086,1.749,3.835,0,0.067,14.71,207
key_metrics.evToSales,1.4551,0.383,3.8,0,0.065,14.44,209
key_metrics.earningsYield,-0.023,0.006,-3.602,0,0.061,12.98,201
key_metrics.pfcfRatio,8.127,2.404,3.38,0.001,0.058,11.43,187
ratio.priceToFreeCashFlowsRatio,8.127,2.404,3.38,0.001,0.058,11.43,187
balance_sheet.deferredRevenueNonCurrent,-1107000000,694000000,-1.596,0.117,0.054,2.548,47
cash_flow.debtRepayment,1134000000,369000000,3.073,0.002,0.043,9.443,212
ratio.totalDebtToCapitalization,-0.1823,0.087,-2.101,0.038,0.043,4.415,100
balance_sheet.taxPayables,-45050000,43900000,-1.027,0.315,0.042,1.054,26
balance_sheet.totalCurrentLiabilities,-3207000000,1000000000,-3.2,0.002,0.042,10.24,235
enterprise_value.stockPrice,56.1652,16.957,3.312,0.001,0.042,10.97,254
key_metrics.evToFreeCashFlow,8.2466,2.983,2.764,0.006,0.039,7.64,190
income_statement_growht.growthGrossProfitRatio,0.0278,0.01,2.868,0.005,0.037,8.224,219
income_statement.operatingIncomeRatio,0.0451,0.016,2.897,0.004,0.035,8.39,236
key_metrics.pbRatio,1.6379,0.636,2.574,0.011,0.034,6.625,191
key_metrics.ptbRatio,1.6379,0.636,2.574,0.011,0.034,6.625,191
ratio.priceBookValueRatio,1.6379,0.636,2.574,0.011,0.034,6.625,191
ratio.priceToBookRatio,1.6379,0.636,2.574,0.011,0.034,6.625,191
ratio.priceFairValue,1.6379,0.636,2.574,0.011,0.034,6.625,191
financial_growth.tenYOperatingCFGrowthPerShare,0.8031,0.282,2.843,0.005,0.033,8.084,236
key_metrics.debtToAssets,-0.1236,0.045,-2.719,0.007,0.033,7.391,216
ratio.debtRatio,-0.1236,0.045,-2.719,0.007,0.033,7.391,216
enterprise_value.addTotalDebt,-4451000000,1660000000,-2.679,0.008,0.029,7.177,243
balance_sheet.totalNonCurrentAssets,-9861000000,3630000000,-2.72,0.007,0.028,7.396,256
financial_growth.receivablesGrowth,0.0733,0.029,2.54,0.012,0.027,6.45,232
income_statement.sellingAndMarketingExpenses,-533200000,553000000,-0.965,0.341,0.027,0.9309,36
ratio.operatingProfitMargin,0.0379,0.016,2.347,0.02,0.027,5.51,197
cash_flow.investmentsInPropertyPlantAndEquipment,448800000,183000000,2.454,0.015,0.026,6.023,230
cash_flow.purchasesOfInvestments,496300000,287000000,1.731,0.086,0.026,2.998,116
cash_flow.capitalExpenditure,448800000,183000000,2.454,0.015,0.026,6.023,230
balance_sheet.accountPayables,-608200000,249000000,-2.447,0.015,0.025,5.987,237
balance_sheet.deferredTaxLiabilitiesNonCurrent,-304500000,152000000,-2,0.047,0.025,4,159
balance_sheet.totalDebt,-4242000000,1690000000,-2.508,0.013,0.025,6.292,245
income_statement_growht.growthEBITDARatio,0.073,0.031,2.355,0.019,0.025,5.546,221
income_statement.incomeBeforeTaxRatio,0.0366,0.015,2.374,0.018,0.024,5.638,234
ratio.netProfitMargin,0.0292,0.013,2.205,0.029,0.024,4.864,199
balance_sheet.totalCurrentAssets,-2575000000,1110000000,-2.314,0.022,0.023,5.353,234
income_statement.grossProfitRatio,0.0785,0.032,2.442,0.015,0.023,5.965,252
income_statement.operatingExpenses,-1107000000,476000000,-2.327,0.021,0.023,5.416,232
cash_flow.inventory,42570000,23800000,1.791,0.075,0.022,3.206,144
cash_flow.commonStockIssued,102600000,98500000,1.042,0.303,0.022,1.086,50
key_metrics.debtToEquity,-0.5911,0.294,-2.009,0.046,0.021,4.035,191
ratio.pretaxProfitMargin,0.0326,0.016,2.06,0.041,0.021,4.243,198
ratio.ebitPerRevenue,0.0326,0.016,2.06,0.041,0.021,4.243,198
ratio.debtEquityRatio,-0.5911,0.294,-2.009,0.046,0.021,4.035,191
financial_growth.fiveYOperatingCFGrowthPerShare,0.3102,0.142,2.187,0.03,0.02,4.782,238
financial_growth.tenYShareholdersEquityGrowthPerShare,0.4939,0.231,2.134,0.034,0.02,4.554,223
financial_growth.fiveYShareholdersEquityGrowthPerShare,0.3004,0.14,2.146,0.033,0.02,4.606,223
financial_growth.tenYDividendperShareGrowthPerShare,1.0381,0.553,1.878,0.062,0.02,3.529,176
income_statement.netIncomeRatio,0.0273,0.013,2.143,0.033,0.02,4.594,233
key_metrics.returnOnTangibleAssets,0.0408,0.02,2.067,0.04,0.02,4.271,212
key_metrics.averagePayables,-561100000,280000000,-2.001,0.047,0.02,4.005,199
ratio.companyEquityMultiplier,-0.5839,0.299,-1.954,0.052,0.02,3.819,191
ratio.operatingCashFlowSalesRatio,0.0363,0.018,2.039,0.043,0.02,4.156,203
income_statement.revenue,-6376000000,2990000000,-2.132,0.034,0.019,4.547,238
balance_sheet.shortTermDebt,-285700000,154000000,-1.856,0.065,0.018,3.446,193
cash_flow.depreciationAndAmortization,-379000000,180000000,-2.1,0.037,0.018,4.409,244
cash_flow.cashAtBeginningOfPeriod,-536000000,262000000,-2.048,0.042,0.018,4.195,237
key_metrics.currentRatio,0.3261,0.168,1.944,0.053,0.018,3.78,212
key_metrics.capexToOperatingCashFlow,-1.391,0.716,-1.943,0.053,0.018,3.774,208
key_metrics.receivablesTurnover,1.0181,0.547,1.86,0.064,0.018,3.461,195
ratio.currentRatio,0.3261,0.168,1.944,0.053,0.018,3.78,212
ratio.receivablesTurnover,1.0181,0.547,1.86,0.064,0.018,3.461,195
ratio.capitalExpenditureCoverageRatio,-1.391,0.716,-1.943,0.053,0.018,3.774,208
balance_sheet.totalLiabilities,-7099000000,3500000000,-2.031,0.043,0.017,4.124,239
balance_sheet.netDebt,-2796000000,1360000000,-2.062,0.04,0.017,4.252,244
income_statement.costOfRevenue,-4366000000,2190000000,-1.989,0.048,0.017,3.957,233
income_statement_growht.growthOtherExpenses,0.4213,0.255,1.654,0.1,0.017,2.735,164
income_statement_growht.growthOperatingIncomeRatio,0.0918,0.047,1.949,0.053,0.017,3.8,222
balance_sheet.totalAssets,-10370000000,5090000000,-2.039,0.042,0.016,4.159,253
balance_sheet.totalLiabilitiesAndStockholdersEquity,-10390000000,5090000000,-2.041,0.042,0.016,4.167,253
cash_flow.commonStockRepurchased,295300000,159000000,1.853,0.065,0.016,3.435,212
income_statement.otherExpenses,-23650000,14400000,-1.637,0.103,0.016,2.681,172
income_statement.depreciationAndAmortization,-363000000,183000000,-1.988,0.048,0.016,3.953,244
balance_sheet.propertyPlantEquipmentNet,-2076000000,1140000000,-1.818,0.07,0.015,3.306,223
