dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.dividendYield,-0.0149,0.003,-5.679,0,0.169,32.25,161
ratio.dividendYield,-0.0149,0.003,-5.679,0,0.169,32.25,161
financial_growth.operatingCashFlowGrowth,0.3103,0.048,6.473,0,0.149,41.91,242
financial_growth.freeCashFlowGrowth,0.3684,0.059,6.275,0,0.146,39.38,232
cash_flow.netCashUsedProvidedByFinancingActivities,1171000000,341000000,3.434,0.001,0.136,11.79,77
financial_growth.revenueGrowth,0.1346,0.022,5.987,0,0.125,35.85,253
income_statement_growht.growthRevenue,0.1347,0.023,5.969,0,0.124,35.63,253
key_metrics.enterpriseValueOverEBITDA,10.697,1.92,5.57,0,0.124,31.03,222
ratio.enterpriseValueMultiple,10.697,1.92,5.57,0,0.124,31.03,222
key_metrics.pocfratio,10.1434,1.88,5.396,0,0.117,29.12,222
ratio.priceToOperatingCashFlowsRatio,10.1434,1.88,5.396,0,0.117,29.12,222
ratio.priceCashFlowRatio,10.1434,1.88,5.396,0,0.117,29.12,222
income_statement_growht.growthIncomeBeforeTax,0.329,0.063,5.245,0,0.113,27.51,219
key_metrics.evToOperatingCashFlow,9.6339,1.865,5.165,0,0.109,26.67,221
financial_growth.ebitgrowth,0.2557,0.052,4.92,0,0.097,24.21,228
financial_growth.operatingIncomeGrowth,0.2557,0.052,4.92,0,0.097,24.21,228
financial_growth.assetGrowth,0.1262,0.025,5.051,0,0.094,25.51,249
key_metrics.evToSales,3.5462,0.735,4.825,0,0.093,23.28,229
income_statement_growht.growthIncomeBeforeTaxRatio,0.2104,0.046,4.556,0,0.09,20.75,213
balance_sheet.taxPayables,-338800000,168000000,-2.023,0.049,0.083,4.091,47
financial_growth.grossProfitGrowth,0.121,0.026,4.576,0,0.079,20.94,246
income_statement_growht.growthOperatingIncome,0.2135,0.051,4.218,0,0.076,17.79,219
income_statement_growht.growthEBITDA,0.2104,0.048,4.357,0,0.075,18.98,237
balance_sheet.totalInvestments,870600000,386000000,2.257,0.027,0.073,5.096,67
key_metrics.peRatio,15.6848,3.927,3.994,0,0.073,15.96,204
ratio.priceEarningsRatio,15.6848,3.927,3.994,0,0.073,15.96,204
income_statement_growht.growthGrossProfit,0.1177,0.027,4.355,0,0.072,18.96,247
income_statement_growht.growthCostAndExpenses,0.0901,0.021,4.375,0,0.072,19.14,248
key_metrics.priceToSalesRatio,2.834,0.687,4.126,0,0.071,17.03,224
ratio.priceToSalesRatio,2.834,0.687,4.126,0,0.071,17.03,224
ratio.priceSalesRatio,2.834,0.687,4.126,0,0.071,17.03,224
income_statement_growht.growthCostOfRevenue,0.0939,0.023,4.076,0,0.066,16.62,239
key_metrics.evToFreeCashFlow,9.2828,2.421,3.834,0,0.065,14.7,214
key_metrics.freeCashFlowYield,-0.0208,0.005,-3.962,0,0.065,15.7,227
financial_growth.sgaexpensesGrowth,0.0929,0.024,3.918,0,0.061,15.35,238
key_metrics.pfcfRatio,8.6754,2.361,3.675,0,0.06,13.5,214
ratio.priceToFreeCashFlowsRatio,8.6754,2.361,3.675,0,0.06,13.5,214
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.0903,0.024,3.78,0,0.058,14.29,236
key_metrics.payoutRatio,-0.1893,0.063,-2.984,0.003,0.058,8.907,146
ratio.payoutRatio,-0.1893,0.063,-2.984,0.003,0.058,8.907,146
ratio.dividendPayoutRatio,-0.1893,0.063,-2.984,0.003,0.058,8.907,146
income_statement_growht.growthOperatingIncomeRatio,0.1409,0.04,3.527,0.001,0.056,12.44,212
cash_flow.accountsPayables,61150000,19100000,3.208,0.002,0.051,10.29,192
enterprise_value.stockPrice,45.269,12.774,3.544,0,0.047,12.56,259
financial_growth.threeYOperatingCFGrowthPerShare,0.3224,0.096,3.37,0.001,0.046,11.36,235
income_statement_growht.growthOperatingExpenses,0.0791,0.023,3.384,0.001,0.046,11.45,237
financial_growth.fiveYRevenueGrowthPerShare,0.3899,0.114,3.424,0.001,0.044,11.72,255
key_metrics.earningsYield,-0.016,0.005,-3.202,0.002,0.044,10.26,223
key_metrics.pbRatio,3.3211,1.105,3.005,0.003,0.042,9.033,209
key_metrics.ptbRatio,3.3211,1.105,3.005,0.003,0.042,9.033,209
ratio.priceBookValueRatio,3.3211,1.105,3.005,0.003,0.042,9.033,209
ratio.priceToBookRatio,3.3211,1.105,3.005,0.003,0.042,9.033,209
ratio.priceFairValue,3.3211,1.105,3.005,0.003,0.042,9.033,209
balance_sheet.otherLiabilities,-1265000000,538000000,-2.353,0.02,0.04,5.534,136
income_statement.interestExpense,-85430000,29300000,-2.918,0.004,0.04,8.513,208
cash_flow.otherNonCashItems,-84580000,31500000,-2.682,0.008,0.036,7.195,194
balance_sheet.deferredRevenueNonCurrent,-248500000,122000000,-2.029,0.045,0.035,4.117,115
key_metrics.stockBasedCompensationToRevenue,0.0146,0.005,2.835,0.005,0.035,8.036,224
financial_growth.threeYRevenueGrowthPerShare,0.1939,0.064,3.04,0.003,0.034,9.244,261
income_statement.otherExpenses,-23920000,9780000,-2.446,0.015,0.032,5.982,184
balance_sheet.shortTermInvestments,614300000,280000000,2.195,0.03,0.031,4.82,153
balance_sheet.commonStock,-31450000,13500000,-2.329,0.021,0.029,5.423,186
income_statement.costOfRevenue,-2560000000,953000000,-2.687,0.008,0.029,7.221,240
ratio.companyEquityMultiplier,0.6145,0.255,2.411,0.017,0.029,5.813,200
key_metrics.debtToEquity,0.6308,0.262,2.409,0.017,0.028,5.805,200
ratio.debtEquityRatio,0.6308,0.262,2.409,0.017,0.028,5.805,200
financial_growth.receivablesGrowth,0.0973,0.039,2.524,0.012,0.026,6.368,242
financial_growth.inventoryGrowth,0.1005,0.049,2.041,0.043,0.026,4.164,156
cash_flow.commonStockRepurchased,412100000,176000000,2.347,0.02,0.025,5.508,214
cash_flow.cashAtBeginningOfPeriod,-981100000,397000000,-2.469,0.014,0.025,6.098,240
financial_growth.fiveYOperatingCFGrowthPerShare,0.4056,0.164,2.481,0.014,0.025,6.154,240
key_metrics.capexPerShare,0.3917,0.163,2.401,0.017,0.025,5.764,231
ratio.priceEarningsToGrowthRatio,4.2074,1.907,2.206,0.029,0.025,4.868,193
balance_sheet.otherCurrentLiabilities,-789600000,424000000,-1.861,0.065,0.023,3.464,146
cash_flow.investmentsInPropertyPlantAndEquipment,139800000,59800000,2.339,0.02,0.023,5.472,238
financial_growth.tenYDividendperShareGrowthPerShare,1.3681,0.931,1.47,0.145,0.023,2.16,94
income_statement.grossProfitRatio,0.1055,0.042,2.493,0.013,0.023,6.214,267
income_statement_growht.growthSellingAndMarketingExpenses,0.0516,0.033,1.569,0.12,0.023,2.462,107
financial_growth.rdexpenseGrowth,0.0463,0.023,1.991,0.048,0.021,3.964,191
income_statement_growht.growthResearchAndDevelopmentExpenses,0.0473,0.024,2.005,0.046,0.021,4.02,191
balance_sheet.totalNonCurrentAssets,-2839000000,1310000000,-2.174,0.031,0.02,4.725,232
balance_sheet.accountPayables,-292900000,132000000,-2.226,0.027,0.02,4.953,243
income_statement_growht.growthEBITDARatio,0.0638,0.029,2.169,0.031,0.02,4.706,227
cash_flow.changeInWorkingCapital,245700000,121000000,2.036,0.043,0.019,4.147,222
ratio.grossProfitMargin,0.0959,0.047,2.048,0.042,0.018,4.193,236
balance_sheet.totalAssets,-5728000000,2830000000,-2.023,0.044,0.017,4.094,239
balance_sheet.totalLiabilitiesAndStockholdersEquity,-5716000000,2830000000,-2.023,0.044,0.017,4.094,239
cash_flow.capitalExpenditure,119600000,59000000,2.026,0.044,0.017,4.106,239
key_metrics.capexToOperatingCashFlow,-2.2325,1.127,-1.98,0.049,0.017,3.921,226
ratio.totalDebtToCapitalization,-0.1097,0.102,-1.071,0.288,0.017,1.147,70
ratio.capitalExpenditureCoverageRatio,-2.2325,1.127,-1.98,0.049,0.017,3.921,226
balance_sheet.shortTermDebt,-214500000,147000000,-1.462,0.146,0.016,2.138,130
balance_sheet.otherNonCurrentLiabilities,-315700000,169000000,-1.866,0.063,0.016,3.481,222
income_statement_growht.growthIncomeTaxExpense,0.379,0.198,1.911,0.057,0.016,3.653,222
key_metrics.capexToRevenue,-7.5043,3.976,-1.887,0.06,0.016,3.562,219
balance_sheet.propertyPlantEquipmentNet,-392500000,204000000,-1.925,0.055,0.015,3.707,241
balance_sheet.totalLiabilities,-3559000000,1900000000,-1.877,0.062,0.015,3.524,238
cash_flow.netChangeInCash,205000000,111000000,1.853,0.065,0.015,3.433,221
income_statement.grossProfit,-1296000000,677000000,-1.914,0.057,0.015,3.664,236
balance_sheet.longTermDebt,-1178000000,687000000,-1.715,0.088,0.014,2.941,208
financial_growth.threeYNetIncomeGrowthPerShare,0.3571,0.201,1.774,0.077,0.014,3.148,227
cash_flow.acquisitionsNet,143500000,181000000,0.792,0.432,0.012,0.6271,52
income_statement.revenue,-2500000000,1480000000,-1.69,0.092,0.012,2.857,241
income_statement.ebitda,-644800000,380000000,-1.697,0.091,0.012,2.881,235
key_metrics.salesGeneralAndAdministrativeToRevenue,0.0508,0.047,1.082,0.282,0.012,1.171,102
balance_sheet.totalDebt,-1079000000,704000000,-1.533,0.127,0.011,2.35,214
cash_flow.netCashUsedForInvestingActivites,-188700000,218000000,-0.865,0.39,0.011,0.7476,72
financial_growth.dividendsperShareGrowth,0.0334,0.025,1.332,0.185,0.011,1.774,158
financial_growth.tenYOperatingCFGrowthPerShare,0.6049,0.38,1.59,0.113,0.011,2.529,234
income_statement.weightedAverageShsOut,-131500000,81000000,-1.623,0.106,0.011,2.634,241
income_statement.weightedAverageShsOutDil,-136000000,82000000,-1.659,0.099,0.011,2.751,241
income_statement_growht.growthNetIncome,0.1757,0.111,1.579,0.116,0.011,2.495,234
key_metrics.freeCashFlowPerShare,0.79,0.51,1.55,0.122,0.011,2.404,223
ratio.freeCashFlowPerShare,0.79,0.51,1.55,0.122,0.011,2.404,223
ratio.dividendPaidAndCapexCoverageRatio,3.4048,2.75,1.238,0.218,0.011,1.533,143
enterprise_value.numberOfShares,-131500000,81000000,-1.623,0.106,0.011,2.634,241
cash_flow.purchasesOfInvestments,609900000,449000000,1.357,0.176,0.01,1.843,187
cash_flow.salesMaturitiesOfInvestments,-539400000,435000000,-1.239,0.217,0.01,1.536,161
cash_flow.commonStockIssued,-68620000,69200000,-0.991,0.324,0.01,0.9825,102
key_metrics.revenuePerShare,-3.8615,2.594,-1.489,0.138,0.01,2.217,218
