dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
key_metrics.peRatio,20.1298,4.653,4.327,0,0.196,18.72,79
ratio.priceEarningsRatio,20.1298,4.653,4.327,0,0.196,18.72,79
key_metrics.pbRatio,3.5943,0.904,3.975,0,0.172,15.8,78
key_metrics.ptbRatio,3.5943,0.904,3.975,0,0.172,15.8,78
ratio.priceBookValueRatio,3.5943,0.904,3.975,0,0.172,15.8,78
ratio.priceToBookRatio,3.5943,0.904,3.975,0,0.172,15.8,78
ratio.priceFairValue,3.5943,0.904,3.975,0,0.172,15.8,78
key_metrics.priceToSalesRatio,1.8699,0.472,3.958,0,0.162,15.67,83
ratio.priceToSalesRatio,1.8699,0.472,3.958,0,0.162,15.67,83
ratio.priceSalesRatio,1.8699,0.472,3.958,0,0.162,15.67,83
key_metrics.enterpriseValueOverEBITDA,7.9864,2.005,3.983,0,0.159,15.86,86
ratio.enterpriseValueMultiple,7.9864,2.005,3.983,0,0.159,15.86,86
key_metrics.evToSales,1.953,0.512,3.814,0,0.152,14.55,83
cash_flow.accountsReceivables,-149500000,45200000,-3.305,0.002,0.15,10.92,64
key_metrics.dividendYield,-0.0179,0.006,-2.938,0.004,0.092,8.634,87
ratio.dividendYield,-0.0179,0.006,-2.938,0.004,0.092,8.634,87
key_metrics.pocfratio,7.4044,2.905,2.549,0.013,0.074,6.497,83
ratio.freeCashFlowOperatingCashFlowRatio,0.1829,0.073,2.5,0.015,0.074,6.248,80
ratio.priceToOperatingCashFlowsRatio,7.4044,2.905,2.549,0.013,0.074,6.497,83
ratio.priceCashFlowRatio,7.4044,2.905,2.549,0.013,0.074,6.497,83
income_statement_growht.growthIncomeTaxExpense,0.9624,0.382,2.518,0.014,0.069,6.341,88
ratio.cashConversionCycle,-38.3228,16.531,-2.318,0.023,0.064,5.374,81
key_metrics.capexToOperatingCashFlow,-0.9338,0.423,-2.209,0.03,0.059,4.881,80
ratio.capitalExpenditureCoverageRatio,-0.9338,0.423,-2.209,0.03,0.059,4.881,80
enterprise_value.stockPrice,51.7345,21.523,2.404,0.018,0.059,5.777,94
enterprise_value.marketCapitalization,13030000000,5670000000,2.298,0.024,0.054,5.282,94
key_metrics.earningsYield,-0.0281,0.013,-2.125,0.037,0.053,4.517,82
income_statement_growht.growthOtherExpenses,-0.7227,0.417,-1.735,0.088,0.049,3.01,61
financial_growth.threeYDividendperShareGrowthPerShare,0.1848,0.098,1.883,0.064,0.048,3.544,72
financial_growth.receivablesGrowth,0.1163,0.057,2.025,0.046,0.046,4.101,87
cash_flow.accountsPayables,97200000,51400000,1.889,0.063,0.045,3.57,78
cash_flow.netChangeInCash,244500000,130000000,1.877,0.064,0.044,3.524,78
balance_sheet.shortTermInvestments,392700000,360000000,1.091,0.285,0.042,1.191,29
cash_flow.inventory,75560000,41300000,1.831,0.071,0.04,3.354,82
cash_flow.purchasesOfInvestments,435700000,322000000,1.355,0.182,0.04,1.835,46
ratio.operatingCycle,-28.6651,15.88,-1.805,0.075,0.04,3.259,81
financial_growth.fiveYNetIncomeGrowthPerShare,0.8444,0.447,1.888,0.062,0.039,3.563,90
key_metrics.freeCashFlowPerShare,2.0765,1.143,1.817,0.073,0.039,3.3,83
ratio.freeCashFlowPerShare,2.0765,1.143,1.817,0.073,0.039,3.3,83
cash_flow.investmentsInPropertyPlantAndEquipment,533300000,285000000,1.87,0.065,0.037,3.496,92
cash_flow.capitalExpenditure,533300000,285000000,1.87,0.065,0.037,3.496,92
financial_growth.threeYOperatingCFGrowthPerShare,0.3924,0.218,1.797,0.076,0.037,3.23,87
financial_growth.fiveYDividendperShareGrowthPerShare,0.5303,0.297,1.784,0.078,0.037,3.184,86
key_metrics.receivablesTurnover,-1.6638,0.979,-1.7,0.093,0.037,2.889,78
ratio.receivablesTurnover,-1.6638,0.979,-1.7,0.093,0.037,2.889,78
key_metrics.daysOfInventoryOnHand,-19.5191,11.439,-1.706,0.092,0.036,2.912,81
ratio.daysOfInventoryOutstanding,-19.5191,11.439,-1.706,0.092,0.036,2.912,81
key_metrics.marketCap,10980000000,6290000000,1.745,0.085,0.035,3.046,85
financial_growth.inventoryGrowth,-0.0814,0.047,-1.738,0.086,0.034,3.019,88
income_statement_growht.growthCostOfRevenue,-0.082,0.047,-1.752,0.083,0.034,3.069,89
financial_growth.netIncomeGrowth,0.5092,0.308,1.652,0.102,0.03,2.728,89
income_statement_growht.growthGrossProfitRatio,0.0419,0.027,1.566,0.121,0.03,2.453,82
income_statement.grossProfitRatio,0.0715,0.043,1.679,0.096,0.028,2.819,100
balance_sheet.deferredRevenue,319100000,347000000,0.919,0.365,0.027,0.8451,32
ratio.netIncomePerEBT,-0.0629,0.047,-1.329,0.188,0.027,1.767,66
balance_sheet.propertyPlantEquipmentNet,-2649000000,1750000000,-1.515,0.133,0.026,2.295,89
balance_sheet.otherLiabilities,-210700000,168000000,-1.256,0.214,0.026,1.579,62
financial_growth.epsgrowth,0.4639,0.301,1.543,0.126,0.026,2.38,91
financial_growth.epsdilutedGrowth,0.4633,0.303,1.531,0.129,0.026,2.343,90
key_metrics.capexToRevenue,-6.1987,4.257,-1.456,0.149,0.026,2.121,83
financial_growth.fiveYRevenueGrowthPerShare,0.1745,0.116,1.502,0.137,0.025,2.257,90
financial_growth.tenYDividendperShareGrowthPerShare,0.919,0.639,1.437,0.154,0.025,2.066,84
key_metrics.pfcfRatio,10.2485,7.415,1.382,0.171,0.025,1.91,78
ratio.priceToFreeCashFlowsRatio,10.2485,7.415,1.382,0.171,0.025,1.91,78
ratio.priceEarningsToGrowthRatio,2.9879,2.283,1.308,0.195,0.025,1.712,69
balance_sheet.totalInvestments,-618400000,693000000,-0.893,0.379,0.024,0.7972,34
income_statement.incomeBeforeTax,536200000,366000000,1.467,0.146,0.024,2.152,91
key_metrics.evToOperatingCashFlow,4.7359,3.381,1.401,0.165,0.024,1.962,82
ratio.grossProfitMargin,0.0635,0.044,1.455,0.149,0.024,2.118,87
ratio.fixedAssetTurnover,1.0437,0.794,1.315,0.193,0.024,1.729,72
enterprise_value.enterpriseValue,9958000000,6520000000,1.527,0.13,0.024,2.333,98
