dependent_variable,coef,std err,t,P>|t|,R_SQ,F_STAT,N
balance_sheet.otherAssets,-9614000000,3340000000,-2.882,0.008,0.242,8.304,28
key_metrics.pocfratio,12.0293,2.242,5.366,0,0.22,28.8,104
ratio.priceToOperatingCashFlowsRatio,12.0293,2.242,5.366,0,0.22,28.8,104
ratio.priceCashFlowRatio,12.0293,2.242,5.366,0,0.22,28.8,104
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,-3945000000,1420000000,-2.774,0.008,0.158,7.695,43
balance_sheet.otherLiabilities,40250000,18600000,2.159,0.04,0.152,4.662,28
balance_sheet.deferredRevenueNonCurrent,257300000,118000000,2.182,0.036,0.126,4.76,35
balance_sheet.goodwill,5808000000,2360000000,2.462,0.018,0.119,6.062,47
key_metrics.dividendYield,-0.0246,0.007,-3.469,0.001,0.116,12.03,94
ratio.dividendYield,-0.0246,0.007,-3.469,0.001,0.116,12.03,94
key_metrics.evToOperatingCashFlow,9.5312,2.744,3.473,0.001,0.106,12.06,104
key_metrics.intangiblesToTotalAssets,0.333,0.124,2.688,0.009,0.104,7.224,64
financial_growth.operatingCashFlowGrowth,0.2313,0.067,3.445,0.001,0.101,11.87,108
financial_growth.fiveYOperatingCFGrowthPerShare,0.6635,0.199,3.336,0.001,0.092,11.13,112
financial_growth.ebitgrowth,0.2142,0.068,3.14,0.002,0.091,9.857,101
financial_growth.operatingIncomeGrowth,0.2142,0.068,3.14,0.002,0.091,9.857,101
financial_growth.revenueGrowth,0.1073,0.035,3.104,0.002,0.09,9.637,100
income_statement_growht.growthRevenue,0.1032,0.034,3.05,0.003,0.085,9.3,102
key_metrics.priceToSalesRatio,6.6161,2.158,3.067,0.003,0.084,9.404,105
ratio.priceToSalesRatio,6.6161,2.158,3.067,0.003,0.084,9.404,105
ratio.priceSalesRatio,6.6161,2.158,3.067,0.003,0.084,9.404,105
key_metrics.evToSales,6.2095,2.106,2.948,0.004,0.082,8.692,99
key_metrics.enterpriseValueOverEBITDA,10.7898,3.668,2.942,0.004,0.081,8.653,100
ratio.enterpriseValueMultiple,10.7898,3.668,2.942,0.004,0.081,8.653,100
key_metrics.daysPayablesOutstanding,-273.7428,139.079,-1.968,0.055,0.078,3.874,48
ratio.daysOfPayablesOutstanding,-273.7428,139.079,-1.968,0.055,0.078,3.874,48
financial_growth.tenYShareholdersEquityGrowthPerShare,0.9047,0.336,2.689,0.008,0.064,7.23,108
cash_flow.debtRepayment,-2716000000,1050000000,-2.582,0.011,0.063,6.666,101
key_metrics.evToFreeCashFlow,32.2937,15.183,2.127,0.037,0.062,4.524,71
key_metrics.workingCapital,659400000,374000000,1.764,0.084,0.059,3.113,52
income_statement_growht.growthOtherExpenses,-0.6244,0.311,-2.005,0.049,0.058,4.021,67
balance_sheet.shortTermDebt,-528800000,258000000,-2.048,0.044,0.056,4.193,73
financial_growth.threeYRevenueGrowthPerShare,0.229,0.091,2.513,0.013,0.056,6.313,109
key_metrics.tangibleAssetValue,-7906000000,4210000000,-1.879,0.065,0.056,3.532,61
S&P500_INFO.Column1,-207.4028,78.388,-2.646,0.009,0.056,7.001,120
financial_growth.freeCashFlowGrowth,0.2665,0.112,2.37,0.02,0.054,5.619,100
income_statement_growht.growthGrossProfit,0.1099,0.048,2.289,0.024,0.052,5.241,97
key_metrics.receivablesTurnover,5.353,2.816,1.901,0.062,0.05,3.613,70
ratio.receivablesTurnover,5.353,2.816,1.901,0.062,0.05,3.613,70
income_statement_growht.growthGeneralAndAdministrativeExpenses,0.1305,0.057,2.295,0.024,0.048,5.265,106
ratio.dividendPaidAndCapexCoverageRatio,6.0678,3.332,1.821,0.073,0.048,3.317,68
financial_growth.sgaexpensesGrowth,0.1198,0.056,2.148,0.034,0.042,4.612,106
financial_growth.threeYOperatingCFGrowthPerShare,0.253,0.12,2.113,0.037,0.039,4.466,112
income_statement_growht.growthCostOfRevenue,0.0817,0.042,1.937,0.056,0.039,3.753,95
enterprise_value.enterpriseValue,14750000000,7060000000,2.089,0.039,0.039,4.364,109
balance_sheet.intangibleAssets,1050000000,655000000,1.603,0.114,0.038,2.57,67
key_metrics.payoutRatio,-0.7605,0.395,-1.926,0.057,0.038,3.71,96
ratio.payoutRatio,-0.7605,0.395,-1.926,0.057,0.038,3.71,96
balance_sheet.totalNonCurrentAssets,9096000000,4520000000,2.014,0.046,0.036,4.058,110
key_metrics.earningsYield,-0.0224,0.012,-1.938,0.055,0.036,3.757,102
balance_sheet.goodwillAndIntangibleAssets,2606000000,1680000000,1.551,0.126,0.035,2.406,68
balance_sheet.totalNonCurrentLiabilities,4169000000,2250000000,1.854,0.066,0.032,3.439,107
ratio.dividendPayoutRatio,-0.6807,0.391,-1.743,0.085,0.032,3.037,95
financial_growth.tenYDividendperShareGrowthPerShare,0.7716,0.475,1.624,0.108,0.03,2.637,87
S&P500_INFO.CIK,143300,80700,1.776,0.079,0.03,3.154,104
balance_sheet.cashAndCashEquivalents,262200000,146000000,1.793,0.076,0.029,3.214,109
cash_flow.netIncome,445200000,242000000,1.842,0.068,0.029,3.392,115
cash_flow.accountsPayables,-28680000,28300000,-1.014,0.318,0.029,1.027,36
income_statement_growht.growthEBITDA,0.1863,0.105,1.777,0.078,0.029,3.157,108
enterprise_value.minusCashAndCashEquivalents,262200000,146000000,1.793,0.076,0.029,3.214,109
balance_sheet.totalDebt,3737000000,2130000000,1.757,0.082,0.028,3.086,110
balance_sheet.netDebt,3643000000,2120000000,1.716,0.089,0.027,2.946,110
balance_sheet.cashAndShortTermInvestments,247900000,146000000,1.693,0.093,0.026,2.865,109
cash_flow.investmentsInPropertyPlantAndEquipment,-656800000,406000000,-1.618,0.109,0.026,2.618,101
cash_flow.capitalExpenditure,-656800000,406000000,-1.618,0.109,0.026,2.618,101
financial_growth.epsgrowth,0.4299,0.254,1.695,0.093,0.026,2.872,108
financial_growth.epsdilutedGrowth,0.4233,0.254,1.667,0.098,0.026,2.78,108
financial_growth.threeYDividendperShareGrowthPerShare,0.2114,0.134,1.572,0.119,0.026,2.472,94
financial_growth.fiveYRevenueGrowthPerShare,0.2496,0.152,1.639,0.104,0.025,2.687,106
balance_sheet.longTermDebt,3443000000,2110000000,1.629,0.106,0.024,2.653,108
financial_growth.grossProfitGrowth,0.0742,0.048,1.556,0.123,0.024,2.422,102
income_statement.costAndExpenses,1413000000,838000000,1.685,0.095,0.024,2.839,116
cash_flow.commonStockRepurchased,192900000,154000000,1.25,0.216,0.023,1.563,67
cash_flow.dividendsPaid,-364600000,236000000,-1.547,0.125,0.023,2.394,102
income_statement.costOfRevenue,702500000,467000000,1.505,0.136,0.023,2.266,98
balance_sheet.totalLiabilities,3565000000,2340000000,1.523,0.131,0.021,2.318,111
income_statement.grossProfit,613800000,415000000,1.48,0.142,0.021,2.19,105
income_statement.ebitda,514200000,333000000,1.545,0.125,0.021,2.387,112
income_statement_growht.growthDepreciationAndAmortization,0.0721,0.049,1.473,0.144,0.021,2.169,102
key_metrics.peRatio,16.8223,11.721,1.435,0.154,0.021,2.06,98
ratio.priceEarningsRatio,16.8223,11.721,1.435,0.154,0.021,2.06,98
income_statement_growht.growthIncomeBeforeTaxRatio,0.2874,0.201,1.433,0.155,0.02,2.053,102
key_metrics.enterpriseValue,11120000000,7990000000,1.392,0.167,0.02,1.938,99
key_metrics.capexToDepreciation,-0.5624,0.456,-1.233,0.222,0.02,1.52,77
