,describe,Pearson,Spearman
count,89.0,,
mean,0.1270006980674157,,
std,0.27627340075530266,,
min,-0.371561574,,
25%,-0.079675186,,
50%,0.099259278,,
75%,0.260948999,,
max,0.974224614,,
enterprise_value.annual_stock_increase,,1.0,1.0
cash_flow.effectOfForexChangesOnCash,,0.664350421462206,0.8655767810204984
balance_sheet.totalInvestments,,0.5354027983180414,0.6277548267858589
balance_sheet.taxPayables,,0.49275710182476445,0.6546536707079771
ratio.enterpriseValueMultiple,,0.4409863067438677,0.43420155793573517
key_metrics.enterpriseValueOverEBITDA,,0.4409863067438677,0.43420155793573517
key_metrics.evToSales,,0.39415710918255015,0.3805501460564752
key_metrics.priceToSalesRatio,,0.39313065497309324,0.42653359298928917
ratio.priceSalesRatio,,0.39313065497309324,0.42653359298928917
ratio.priceToSalesRatio,,0.39313065497309324,0.42653359298928917
ratio.priceFairValue,,0.3788010811592209,0.42261441090555013
ratio.priceToBookRatio,,0.3788010811592209,0.42261441090555013
key_metrics.pbRatio,,0.3788010811592209,0.42261441090555013
ratio.priceBookValueRatio,,0.3788010811592209,0.42261441090555013
key_metrics.ptbRatio,,0.3788010811592209,0.42261441090555013
ratio.dividendPaidAndCapexCoverageRatio,,0.3250237921220024,-0.04381685196306441
key_metrics.inventoryTurnover,,0.3015221915846782,0.5487381579642182
ratio.inventoryTurnover,,0.3015221915846782,0.5487381579642182
cash_flow.changeInWorkingCapital,,0.27833520631174885,0.29570768877330617
financial_growth.dividendsperShareGrowth,,0.2615699808996525,0.23016944919273005
key_metrics.stockBasedCompensationToRevenue,,0.2541276301582984,0.2813857172767306
financial_growth.fiveYRevenueGrowthPerShare,,0.25099804984078083,0.3759405109279743
financial_growth.tenYShareholdersEquityGrowthPerShare,,0.23296732152464375,0.28992563202770744
financial_growth.threeYRevenueGrowthPerShare,,0.21171944902402817,0.283781013062128
balance_sheet.longTermInvestments,,0.21147218376147675,0.15166732172938688
enterprise_value.stockPrice,,0.20859333924368573,0.3769152196118488
financial_growth.tenYRevenueGrowthPerShare,,0.20216992841667797,0.1743574116084553
key_metrics.cashPerShare,,0.18069184276356842,0.19943401402897862
financial_growth.threeYNetIncomeGrowthPerShare,,0.1756423634228186,0.024769325417561463
balance_sheet.otherLiabilities,,0.174873782547033,0.09964990325490322
enterprise_value.marketCapitalization,,0.16439460470288958,0.20326966537872712
income_statement_growht.growthCostAndExpenses,,0.16020216812879387,0.17217831592035815
balance_sheet.otherCurrentLiabilities,,0.14837486191167476,0.12108906413788506
cash_flow.commonStockIssued,,0.1460524164638134,0.19114504707861088
key_metrics.marketCap,,0.14303289545922404,0.14695715676728335
balance_sheet.shortTermInvestments,,0.1424828080932945,0.3527632396733818
ratio.freeCashFlowOperatingCashFlowRatio,,0.13744743798757808,0.05252235098651891
enterprise_value.enterpriseValue,,0.13654828382961998,0.13612529792305073
cash_flow.salesMaturitiesOfInvestments,,0.1356368800664679,0.26462847272518353
financial_growth.threeYShareholdersEquityGrowthPerShare,,0.13546071081042066,0.10454514392577818
financial_growth.operatingIncomeGrowth,,0.13538352624657668,0.2785358589456291
financial_growth.ebitgrowth,,0.13538352624657668,0.2785358589456291
financial_growth.debtGrowth,,0.13341501539476677,0.08676290225712274
ratio.cashPerShare,,0.13171270754256886,0.2433496638682557
key_metrics.salesGeneralAndAdministrativeToRevenue,,0.13132709789084637,0.08302537822796735
income_statement_growht.growthRevenue,,0.13129660174929583,0.2468155182824154
financial_growth.freeCashFlowGrowth,,0.12721518903007314,0.15691916135164272
key_metrics.tangibleAssetValue,,0.12661676338204803,0.16313420012751684
balance_sheet.cashAndShortTermInvestments,,0.12595184970657575,0.25239520093719253
cash_flow.otherWorkingCapital,,0.1252972833005057,0.3016825480632312
key_metrics.enterpriseValue,,0.12328462969267058,0.10048685491723466
financial_growth.epsgrowth,,0.12258025199218114,0.07270575928251492
financial_growth.epsdilutedGrowth,,0.12243146876892537,0.07115647369658613
ratio.quickRatio,,0.12087838669031369,0.0915929258008062
key_metrics.currentRatio,,0.12032072241681606,0.1415373382208643
ratio.currentRatio,,0.12032072241681606,0.1415373382208643
key_metrics.netCurrentAssetValue,,0.11732838506713027,0.22581236718428663
key_metrics.workingCapital,,0.11694539245550818,0.10429067026800527
ratio.fixedAssetTurnover,,0.1165947095207258,0.0013441505464098329
income_statement_growht.growthEBITDA,,0.11479122659983121,0.1307033571935701
income_statement.ebitdaratio,,0.11455218977581849,0.1350153862859637
financial_growth.netIncomeGrowth,,0.11164481130123156,0.07452649506643999
income_statement.incomeTaxExpense,,0.11141334369164953,0.10486486495984856
