,describe,Pearson,Spearman
count,123.0,,
mean,0.045225047634146344,,
std,0.19885415653944435,,
min,-0.40193824,,
25%,-0.08768575049999999,,
50%,0.024837772,,
75%,0.155624692,,
max,0.600282819,,
enterprise_value.annual_stock_increase,,1.0,1.0
enterprise_value.stockPrice,,0.3712623962079798,0.3428112625917375
ratio.priceToSalesRatio,,0.30382472269821376,0.28725185362353506
key_metrics.priceToSalesRatio,,0.30382472269821376,0.28725185362353506
ratio.priceSalesRatio,,0.30382472269821376,0.28725185362353506
key_metrics.enterpriseValueOverEBITDA,,0.30345902313556194,0.44293060443502924
ratio.enterpriseValueMultiple,,0.30345902313556194,0.44293060443502924
financial_growth.rdexpenseGrowth,,0.2864771416623432,0.44143872255328265
key_metrics.stockBasedCompensationToRevenue,,0.28627084012199827,0.2866211458444468
key_metrics.evToSales,,0.2512229424192509,0.2329671643830936
income_statement_growht.growthOperatingIncome,,0.24214546806658985,0.34258554642659067
income_statement_growht.growthWeightedAverageShsOutDil,,0.23978383779219245,0.2720407212722071
ratio.returnOnAssets,,0.2376672749352703,0.21685686951173677
key_metrics.roic,,0.2255710067010018,0.2762838692042232
ratio.returnOnCapitalEmployed,,0.2255710067010018,0.2762838692042232
cash_flow.stockBasedCompensation,,0.22193615271879655,0.10657818216866276
income_statement_growht.growthResearchAndDevelopmentExpenses,,0.22039277783080113,0.3497831297407943
income_statement_growht.growthWeightedAverageShsOut,,0.21876920963492463,0.2296733764623673
key_metrics.tangibleAssetValue,,0.20111864630849297,0.1529237327402465
key_metrics.marketCap,,0.20076039184772318,0.20080636894796186
income_statement_growht.growthOperatingIncomeRatio,,0.20008311885321917,0.15905250802904644
ratio.priceToFreeCashFlowsRatio,,0.19056172997486362,0.35910752724912015
key_metrics.pfcfRatio,,0.19056172997486362,0.35910752724912015
key_metrics.returnOnTangibleAssets,,0.18464397908128494,0.13384528650015376
enterprise_value.marketCapitalization,,0.18223453719286875,0.17754833550450788
income_statement_growht.growthEBITDA,,0.17993572680528985,0.34241840453901085
ratio.quickRatio,,0.17974452460714252,0.15975330577100488
ratio.cashFlowToDebtRatio,,0.1785010448150438,0.2762680488707886
ratio.cashFlowCoverageRatios,,0.1785010448150438,0.2762680488707886
income_statement.researchAndDevelopmentExpenses,,0.17497144988638785,0.1642156862745098
cash_flow.deferredIncomeTax,,0.16746306626163307,0.10488433966337299
key_metrics.daysPayablesOutstanding,,0.16692801536594384,0.13614755113511864
ratio.daysOfPayablesOutstanding,,0.16692801536594384,0.13614755113511864
cash_flow.effectOfForexChangesOnCash,,0.16426676027815248,0.12465699737422249
income_statement_growht.growthIncomeBeforeTax,,0.1632997120832415,0.28669177490294206
key_metrics.enterpriseValue,,0.16270384502472238,0.11758977688181228
key_metrics.currentRatio,,0.15344831292830055,0.10377729183038918
ratio.currentRatio,,0.15344831292830055,0.10377729183038918
ratio.cashRatio,,0.15261478205213905,0.21499470393275702
income_statement.incomeTaxExpense,,0.15017574973421635,0.13650273760813778
income_statement_growht.growthNetIncome,,0.14927127462519132,0.1256658626871832
enterprise_value.enterpriseValue,,0.1433454613999994,0.1096206678618875
income_statement_growht.growthIncomeBeforeTaxRatio,,0.1420859918166609,0.22245295430215012
cash_flow.changeInWorkingCapital,,0.13556397055036748,0.20222233687170293
key_metrics.netCurrentAssetValue,,0.13423395468074673,0.2094850855912803
ratio.priceEarningsToGrowthRatio,,0.13342943167320467,0.2039840092937438
income_statement_growht.growthTotalOtherIncomeExpensesNet,,0.13332344604006388,0.057514220104433286
