,describe,Pearson,Spearman
count,282.0,,
mean,0.269753900393617,,
std,0.36580985956703477,,
min,-0.724216618,,
25%,0.0178660545,,
50%,0.218928918,,
75%,0.45187839425,,
max,2.098626046,,
enterprise_value.annual_stock_increase,,1.0,1.0
financial_growth.grossProfitGrowth,,0.3509468604968683,0.39759743905729306
income_statement_growht.growthGrossProfit,,0.3370776547369281,0.38760509563429274
financial_growth.revenueGrowth,,0.29938110819278196,0.4159617222956234
income_statement_growht.growthRevenue,,0.2813512582864321,0.4066687723537253
enterprise_value.stockPrice,,0.27137523375270617,0.2980074944205242
financial_growth.inventoryGrowth,,0.25214485386337315,0.2420794443558088
financial_growth.receivablesGrowth,,0.21971471508948498,0.22741340280084527
financial_growth.assetGrowth,,0.19911320606335492,0.40169443576383795
income_statement.totalOtherIncomeExpensesNet,,0.19735942653919042,0.039540801522071956
income_statement_growht.growthCostAndExpenses,,0.197048082195942,0.29283153190967665
income_statement_growht.growthCostOfRevenue,,0.1826219531732425,0.28355404358926817
income_statement_growht.growthOperatingExpenses,,0.1716912917496786,0.236626016817789
income_statement_growht.growthGrossProfitRatio,,0.16719613923711255,0.17878906194706967
key_metrics.inventoryTurnover,,0.16686466605902506,0.04176007822569892
ratio.inventoryTurnover,,0.16686466605902506,0.04176007822569892
income_statement_growht.growthSellingAndMarketingExpenses,,0.14801753443644922,0.18164823680458358
income_statement.grossProfitRatio,,0.12691126278652323,0.13811515534080349
financial_growth.fiveYOperatingCFGrowthPerShare,,0.12566632477800335,0.15579311199749155
cash_flow.debtRepayment,,0.11718035599961778,0.10512461668706145
financial_growth.tenYOperatingCFGrowthPerShare,,0.11137877179848854,0.13627977861554505
financial_growth.fiveYRevenueGrowthPerShare,,0.11092141775512727,0.21423102445000256
key_metrics.stockBasedCompensationToRevenue,,0.0974271608219501,0.1609496625656341
financial_growth.rdexpenseGrowth,,0.0970055092869502,0.22863294046352062
financial_growth.fiveYShareholdersEquityGrowthPerShare,,0.09194150291630986,0.12811101307451672
ratio.quickRatio,,0.0898383143663255,0.01906962625687725
income_statement_growht.growthResearchAndDevelopmentExpenses,,0.08478265392053956,0.22107901794193463
financial_growth.tenYRevenueGrowthPerShare,,0.08331942739958728,0.12470536762507566
balance_sheet.otherCurrentAssets,,0.08074936338789576,-0.05416771076726606
ratio.cashPerShare,,0.08014410263334358,0.06203149307531778
ratio.returnOnCapitalEmployed,,0.0794153748741885,0.084871117937887
key_metrics.roic,,0.0794153748741885,0.084871117937887
cash_flow.netCashUsedProvidedByFinancingActivities,,0.0791606153590529,0.35195905821968904
key_metrics.tangibleAssetValue,,0.07413994127118156,0.058336272200200316
income_statement_growht.growthDepreciationAndAmortization,,0.07337856456157228,0.012525716793174822
ratio.currentRatio,,0.07170165454727039,-0.00873285488827453
key_metrics.currentRatio,,0.07170165454727039,-0.00873285488827453
income_statement.incomeBeforeTaxRatio,,0.07056423235730802,0.08399604106047659
cash_flow.salesMaturitiesOfInvestments,,0.07045248453243659,-0.019203731388532708
key_metrics.capexPerShare,,0.0694210133462293,0.06143366727980224
income_statement_growht.growthInterestExpense,,0.06837909968434992,0.040805374577417806
ratio.returnOnAssets,,0.06738095448256776,0.05702913646618346
key_metrics.grahamNetNet,,0.06501261493505041,0.04039688863593246
key_metrics.capexToDepreciation,,0.06438547974587616,0.054975288380897235
financial_growth.tenYShareholdersEquityGrowthPerShare,,0.06333009636267108,0.08676899742593173
ratio.cashRatio,,0.06064981869736227,-0.03174729652817302
financial_growth.threeYOperatingCFGrowthPerShare,,0.0601182075314358,0.17812698250654455
income_statement.operatingIncomeRatio,,0.05798344999704225,0.07041071293361745
financial_growth.threeYShareholdersEquityGrowthPerShare,,0.057080759537850426,0.14382794105851213
financial_growth.threeYRevenueGrowthPerShare,,0.05682253330806573,0.2254361696697463
key_metrics.netCurrentAssetValue,,0.056187177747840746,0.09834855400924389
key_metrics.receivablesTurnover,,0.04989136091301901,0.011276784832625654
ratio.receivablesTurnover,,0.04989136091301901,0.011276784832625654
cash_flow.investmentsInPropertyPlantAndEquipment,,0.04933843032447508,0.13998866453886474
ratio.shortTermCoverageRatios,,0.048929929786326994,-0.10266275184772704
income_statement.eps,,0.04860150657186054,0.010298343249192161
income_statement.epsdiluted,,0.045563627754436176,0.005001365565443966
key_metrics.daysPayablesOutstanding,,0.04509951032508706,0.07512724034046143
ratio.daysOfPayablesOutstanding,,0.04509951032508706,0.07512724034046143
S&P500_INFO.CIK,,0.04493879119834175,0.0014906742615531574
ratio.operatingCycle,,0.04158145947788417,-0.02813260862110353
cash_flow.changeInWorkingCapital,,0.04152611712517581,0.1819585295452513
financial_growth.sgaexpensesGrowth,,0.04035542986917042,0.22191871690464202
key_metrics.averagePayables,,0.03850509138560296,-0.05991703743359668
cash_flow.capitalExpenditure,,0.03770030368400418,0.1303194809394924
key_metrics.payoutRatio,,0.03706085104951129,-0.16945060179163537
ratio.dividendPayoutRatio,,0.03706085104951129,-0.16945060179163537
ratio.payoutRatio,,0.03706085104951129,-0.16945060179163537
cash_flow.accountsPayables,,0.03551544727396672,0.2847095700212537
balance_sheet.shortTermInvestments,,0.03306689507662643,0.10672253950491724
income_statement_growht.growthGeneralAndAdministrativeExpenses,,0.03242608896750701,0.20789822628969276
key_metrics.cashPerShare,,0.031135661886115478,-0.030404097894137734
financial_growth.operatingCashFlowGrowth,,0.03107927722017669,0.34237438278095356
ratio.daysOfInventoryOutstanding,,0.030983761993431492,-0.014825547802124538
key_metrics.daysOfInventoryOnHand,,0.030983761993431492,-0.014825547802124538
cash_flow.stockBasedCompensation,,0.03094310322916093,-0.04275090063385615
key_metrics.incomeQuality,,0.028630621148638156,0.06102433638938223
financial_growth.fiveYNetIncomeGrowthPerShare,,0.028227860259670844,0.03929180308742353
key_metrics.interestCoverage,,0.027821486165585763,0.03345186632400133
ratio.interestCoverage,,0.027821486165585763,0.03345186632400133
income_statement.netIncomeRatio,,0.027171844639239585,0.07467468550227693
key_metrics.daysSalesOutstanding,,0.027057847544003914,-0.011276784832625654
ratio.daysOfSalesOutstanding,,0.027057847544003914,-0.011276784832625654
ratio.assetTurnover,,0.026606422919786345,0.026596649546392744
cash_flow.otherWorkingCapital,,0.025981538328568653,-0.0033755901645416025
ratio.priceEarningsRatio,,0.02543345900169341,0.30906619305908895
key_metrics.peRatio,,0.02543345900169341,0.30906619305908895
balance_sheet.longTermInvestments,,0.024882096174636725,-0.018185180138016673
ratio.pretaxProfitMargin,,0.023878070996086593,0.07625248403974463
ratio.ebitPerRevenue,,0.023878070996086593,0.07625248403974463
income_statement.incomeBeforeTax,,0.02321549032005266,-0.03553987963899833
cash_flow.deferredIncomeTax,,0.022761692957540648,0.07550763485300237
income_statement.netIncome,,0.022528432203208777,-0.052884833800257436
cash_flow.netIncome,,0.0225267423484393,-0.05164036387629937
income_statement.incomeTaxExpense,,0.02071567795229445,-0.03342764488836709
ratio.operatingProfitMargin,,0.01965982823765315,0.06822137954207268
cash_flow.inventory,,0.019606787343105486,0.007610672518875608
balance_sheet.otherNonCurrentAssets,,0.019559568278102017,-0.10165514520899274
ratio.effectiveTaxRate,,0.018389951267909047,0.04771468343493496
income_statement_growht.growthIncomeTaxExpense,,0.018071340958722204,0.12269191148854307
cash_flow.freeCashFlow,,0.017295459559735927,-0.0474832197977334
ratio.cashFlowCoverageRatios,,0.01724176952898872,0.0038652350981118106
ratio.cashFlowToDebtRatio,,0.01724176952898872,0.0038652350981118106
balance_sheet.accountPayables,,0.016952537303687544,-0.1239140460878719
balance_sheet.otherAssets,,0.016248690379820248,-0.0788550157754215
financial_growth.fiveYDividendperShareGrowthPerShare,,0.01613141692351795,0.0754439109277819
income_statement.otherExpenses,,0.015209061279501007,-0.17318401911079284
balance_sheet.cashAndShortTermInvestments,,0.014627294875095412,-0.044587941930341546
balance_sheet.deferredTaxLiabilitiesNonCurrent,,0.014594945930211193,-0.02552889078323705
income_statement.operatingIncome,,0.01113225394130999,-0.08015554521952645
key_metrics.workingCapital,,0.010367924059757365,-0.030719980614635635
cash_flow.acquisitionsNet,,0.009385956835504736,0.05240361612651406
cash_flow.accountsReceivables,,0.008505901492663429,-0.08849982799344062
ratio.freeCashFlowOperatingCashFlowRatio,,0.006305102955722945,0.09932128821030053
key_metrics.netDebtToEBITDA,,0.005405144396080507,-0.025804828877262036
income_statement_growht.growthIncomeBeforeTaxRatio,,0.00526455308840177,0.2546276967261972
key_metrics.freeCashFlowPerShare,,0.005065148352194252,0.06396966351461623
ratio.freeCashFlowPerShare,,0.005065148352194252,0.06396966351461623
cash_flow.netCashProvidedByOperatingActivities,,0.004571702626622074,-0.10809365163495549
cash_flow.operatingCashFlow,,0.004571702626622074,-0.10809365163495549
key_metrics.bookValuePerShare,,0.0019476119480825434,-0.06483475621324226
key_metrics.shareholdersEquityPerShare,,0.0019476119480825434,-0.06483475621324226
balance_sheet.totalCurrentAssets,,-9.491061590546415e-06,-0.0786998328598096
key_metrics.capexToRevenue,,-0.0013292105805289536,-0.06587090165546607
key_metrics.netIncomePerShare,,-0.0015440795326553591,0.0037467479479671674
key_metrics.grahamNumber,,-0.003490367051547901,-0.004869581913310613
income_statement.ebitda,,-0.00534716870853787,-0.15417202998409935
financial_growth.tenYNetIncomeGrowthPerShare,,-0.006025902954588438,0.01864558798865368
balance_sheet.totalInvestments,,-0.006158186909610105,0.08120018752930146
balance_sheet.otherCurrentLiabilities,,-0.006954066362455672,-0.081758116449502
key_metrics.tangibleBookValuePerShare,,-0.007239649308213677,-0.008067539366344148
ratio.netProfitMargin,,-0.009678853435684637,0.049458839341429466
income_statement_growht.growthIncomeBeforeTax,,-0.0096891972022494,0.30490449419222987
financial_growth.debtGrowth,,-0.009960150282945494,0.019792942468895548
income_statement.grossProfit,,-0.010259584252070256,-0.09658397498782947
enterprise_value.marketCapitalization,,-0.010355863185958047,0.1478557668983034
key_metrics.researchAndDdevelopementToRevenue,,-0.010408341818075319,0.05745523512020974
balance_sheet.otherNonCurrentLiabilities,,-0.011328392857235163,-0.1466644189843181
enterprise_value.enterpriseValue,,-0.012295360607263413,0.09520462566563775
balance_sheet.totalCurrentLiabilities,,-0.013844646859779958,-0.09119910594567877
key_metrics.averageReceivables,,-0.014022758463721304,-0.07874322633170973
key_metrics.enterpriseValue,,-0.01416820952438699,0.08467615253272624
key_metrics.marketCap,,-0.014357250577538705,0.09750939100739897
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,,-0.014984066439404553,0.06016782299562837
enterprise_value.numberOfShares,,-0.015217105064713002,-0.08299899330577931
income_statement.weightedAverageShsOut,,-0.015217105064713002,-0.08299899330577931
income_statement.weightedAverageShsOutDil,,-0.015220128269966734,-0.08164787744003002
ratio.longTermDebtToCapitalization,,-0.015718642237197135,-0.041469988174600084
ratio.fixedAssetTurnover,,-0.01777528633428657,0.11775823381934729
financial_growth.threeYDividendperShareGrowthPerShare,,-0.01826826865902686,0.038311601021642695
financial_growth.epsgrowth,,-0.018547669909240082,0.1337647270720344
cash_flow.effectOfForexChangesOnCash,,-0.018569252385381263,-0.04401630793903662
ratio.debtRatio,,-0.01923251719986799,0.0205324245187923
key_metrics.debtToAssets,,-0.01923251719986799,0.0205324245187923
balance_sheet.shortTermDebt,,-0.019269399591399953,-0.1409289827244044
financial_growth.epsdilutedGrowth,,-0.019376099705987068,0.13421122941620395
ratio.operatingCashFlowPerShare,,-0.019856064004734286,0.028751692027072433
key_metrics.operatingCashFlowPerShare,,-0.019856064004734286,0.028751692027072433
key_metrics.returnOnTangibleAssets,,-0.020504579139613885,-0.004507080113281813
financial_growth.freeCashFlowGrowth,,-0.020623979304036942,0.2724159842632806
key_metrics.evToOperatingCashFlow,,-0.02074733587469659,0.3691101617625882
key_metrics.pocfratio,,-0.020794489570670125,0.37729870877934046
ratio.priceCashFlowRatio,,-0.020794489570670125,0.37729870877934046
ratio.priceToOperatingCashFlowsRatio,,-0.020794489570670125,0.37729870877934046
income_statement.revenue,,-0.02091790555297519,-0.12813821674653053
income_statement_growht.growthWeightedAverageShsOutDil,,-0.02148654054321619,0.13875730109306753
financial_growth.weightedAverageSharesDilutedGrowth,,-0.021492695189755013,0.1139676560778786
income_statement_growht.growthWeightedAverageShsOut,,-0.021514141102248155,0.14014452700584087
