,describe,Pearson,Spearman
count,103.0,,
mean,0.12625185506796113,,
std,0.2811135511645916,,
min,-0.410872944,,
25%,-0.0546705765,,
50%,0.126263045,,
75%,0.28258594449999996,,
max,1.377208481,,
enterprise_value.annual_stock_increase,,1.0,1.0
cash_flow.acquisitionsNet,,0.41701930318973435,0.2727272727272727
financial_growth.threeYDividendperShareGrowthPerShare,,0.28572054855527973,0.2124534184271403
cash_flow.netChangeInCash,,0.28179681094052994,0.2887827606290041
income_statement_growht.growthIncomeBeforeTaxRatio,,0.25707344000903964,0.05304601048340128
balance_sheet.shortTermInvestments,,0.24991261094301417,0.38266129032258067
financial_growth.threeYOperatingCFGrowthPerShare,,0.2309109132161474,0.2329744962144372
ratio.daysOfSalesOutstanding,,0.22848409381153983,0.14179485310199022
key_metrics.daysSalesOutstanding,,0.22848409381153983,0.14179485310199022
cash_flow.commonStockRepurchased,,0.21130650951164506,0.17320810949136614
financial_growth.fiveYOperatingCFGrowthPerShare,,0.20869172118222587,0.21449317259859244
cash_flow.effectOfForexChangesOnCash,,0.20751718756948614,0.21176470588235294
enterprise_value.marketCapitalization,,0.20257898557650797,0.28854485448544853
income_statement_growht.growthIncomeBeforeTax,,0.19856550315608537,0.013873387338733873
cash_flow.changeInWorkingCapital,,0.19749234221581982,0.194010016254448
ratio.freeCashFlowPerShare,,0.19321191032529575,0.20544773578481443
key_metrics.freeCashFlowPerShare,,0.19321191032529575,0.20544773578481443
enterprise_value.stockPrice,,0.19093082799308578,0.2927667706365593
cash_flow.accountsPayables,,0.18178803072233987,0.26729605598891887
key_metrics.inventoryTurnover,,0.18140491890371796,0.19890106019513226
ratio.inventoryTurnover,,0.18140491890371796,0.19890106019513226
ratio.freeCashFlowOperatingCashFlowRatio,,0.170682531494608,0.3021280217909431
key_metrics.daysPayablesOutstanding,,0.16212318490564287,0.1302625410220347
ratio.daysOfPayablesOutstanding,,0.16212318490564287,0.1302625410220347
income_statement_growht.growthOperatingIncomeRatio,,0.15798137899426318,-0.011846130358324238
ratio.grossProfitMargin,,0.15590981511783142,0.14226871764963184
ratio.fixedAssetTurnover,,0.14872192722283425,0.07394298407997038
key_metrics.operatingCashFlowPerShare,,0.14675306452776696,0.11581545795028941
ratio.operatingCashFlowPerShare,,0.14675306452776696,0.11581545795028941
income_statement_growht.growthSellingAndMarketingExpenses,,0.1339319115536069,0.17647058823529413
ratio.cashFlowToDebtRatio,,0.1337242161211906,0.16391663048198002
ratio.cashFlowCoverageRatios,,0.1337242161211906,0.16391663048198002
enterprise_value.enterpriseValue,,0.13042219215264247,0.20343320300487633
financial_growth.operatingIncomeGrowth,,0.1281061803444029,-0.006185206755969714
financial_growth.ebitgrowth,,0.1281061803444029,-0.006185206755969714
cash_flow.debtRepayment,,0.12585497784175975,0.026015966477621645
cash_flow.freeCashFlow,,0.12471923030212954,0.16867708310867005
key_metrics.netIncomePerShare,,0.12470333810343723,0.06278515491998637
ratio.netProfitMargin,,0.12129897429391216,0.09502806736166801
ratio.operatingCycle,,0.11967703608091951,-0.103502952540643
cash_flow.inventory,,0.11707647749525457,0.2413921714277942
key_metrics.returnOnTangibleAssets,,0.1163171017549176,0.10095335376234253
income_statement.totalOtherIncomeExpensesNet,,0.11563355920515818,0.08894276110976691
financial_growth.debtGrowth,,0.11493661471827915,0.06722189866045428
cash_flow.dividendsPaid,,0.1139831798700743,0.0800430997165172
cash_flow.stockBasedCompensation,,0.1085745074541769,0.04857634209814265
balance_sheet.otherNonCurrentAssets,,0.10811270398079628,0.0347125869316877
balance_sheet.othertotalStockholdersEquity,,0.10662502179667609,0.17234262125902994
balance_sheet.otherAssets,,0.10193598350706189,0.12955447465011488
ratio.pretaxProfitMargin,,0.09814694896234225,0.09619450317124736
ratio.ebitPerRevenue,,0.09814694896234225,0.09619450317124736
income_statement_growht.growthEBITDARatio,,0.09795615623747576,-0.009165908024269018
ratio.quickRatio,,0.093183809615022,0.09450119169220293
cash_flow.purchasesOfInvestments,,0.09127439710569882,0.050200631776658414
ratio.cashConversionCycle,,0.08673338468292811,-0.13377560691113216
ratio.operatingCashFlowSalesRatio,,0.0867125809670618,0.10456003499307429
key_metrics.stockBasedCompensationToRevenue,,0.08429618327429897,0.11408813877168307
financial_growth.epsgrowth,,0.08194401575442281,0.18213215530699037
key_metrics.interestDebtPerShare,,0.08101550904405234,0.023084780388151174
financial_growth.epsdilutedGrowth,,0.08048164836547916,0.18354690533207524
income_statement.operatingIncomeRatio,,0.07762567834982201,0.049448405720069435
income_statement.incomeBeforeTaxRatio,,0.0768154414431345,0.04900735647522491
income_statement.netIncomeRatio,,0.07512024216637268,0.07989211256933804
key_metrics.roic,,0.07494124830247519,0.059056860742254004
ratio.returnOnCapitalEmployed,,0.07494124830247519,0.059056860742254004
key_metrics.revenuePerShare,,0.07400985380751117,0.03805496828752643
ratio.returnOnAssets,,0.07222528538479953,0.07669390534559074
income_statement.ebitdaratio,,0.07151341826700089,0.027973026402495278
ratio.companyEquityMultiplier,,0.07085513140735183,0.1254681647940075
ratio.interestCoverage,,0.0703596013696138,0.10017258990525166
key_metrics.interestCoverage,,0.0703596013696138,0.10017258990525166
key_metrics.debtToEquity,,0.07030716735177923,0.12439564181137215
ratio.debtEquityRatio,,0.07030716735177923,0.12439564181137215
cash_flow.investmentsInPropertyPlantAndEquipment,,0.06915669093095214,0.12273508795203493
cash_flow.capitalExpenditure,,0.06915669093095214,0.12273508795203493
cash_flow.netCashUsedProvidedByFinancingActivities,,0.06725885491851659,0.026538678712591756
cash_flow.cashAtEndOfPeriod,,0.06691543666996673,0.06673888607501703
cash_flow.otherNonCashItems,,0.06668660127733668,0.12576661958876428
financial_growth.fiveYShareholdersEquityGrowthPerShare,,0.0616634884447177,0.12679073503815771
key_metrics.evToFreeCashFlow,,0.061031533298278144,0.13321416411304052
key_metrics.pfcfRatio,,0.06103143056518814,0.19104528430371126
ratio.priceToFreeCashFlowsRatio,,0.06103143056518814,0.19104528430371126
financial_growth.grossProfitGrowth,,0.0606174116490607,0.04532323820617356
income_statement.otherExpenses,,0.06003565910196739,0.12793664682169392
key_metrics.cashPerShare,,0.05970648316253989,0.09685052774940416
income_statement_growht.growthOtherExpenses,,0.05844475152629649,-0.06465635537638843
financial_growth.tenYOperatingCFGrowthPerShare,,0.056266929463784865,0.1337186620336415
key_metrics.grahamNumber,,0.05479169507561534,0.05275791624106231
ratio.priceCashFlowRatio,,0.05466904271028614,0.2411644535240041
key_metrics.pocfratio,,0.05466904271028614,0.2411644535240041
ratio.priceToOperatingCashFlowsRatio,,0.05466904271028614,0.2411644535240041
key_metrics.evToOperatingCashFlow,,0.054668781318911806,0.18595505617977529
key_metrics.incomeQuality,,0.05269957624838219,0.08227783452502553
financial_growth.assetGrowth,,0.052137699455453296,0.1792979297929793
ratio.cashPerShare,,0.05136869699476807,0.07087163772557031
key_metrics.researchAndDdevelopementToRevenue,,0.051220544698890993,0.038174529756398394
financial_growth.tenYNetIncomeGrowthPerShare,,0.05091339025920679,0.06619742554941377
financial_growth.threeYNetIncomeGrowthPerShare,,0.050314552561962794,0.04772105655758086
key_metrics.intangiblesToTotalAssets,,0.04851347114643784,0.05125027338339287
balance_sheet.cashAndShortTermInvestments,,0.047237611428528045,0.05620979278288766
key_metrics.capexPerShare,,0.0450908814499831,0.05635588742911486
ratio.priceEarningsToGrowthRatio,,0.04134133421824697,0.16157643854273068
financial_growth.fiveYRevenueGrowthPerShare,,0.04047409626472751,0.047950576669280646
income_statement_growht.growthEBITDA,,0.0403562452782007,0.011540788573431871
key_metrics.peRatio,,0.039761871053327326,0.3465440926115083
ratio.priceEarningsRatio,,0.039761871053327326,0.3465440926115083
balance_sheet.commonStock,,0.036621708793613685,0.09600673670988981
key_metrics.enterpriseValueOverEBITDA,,0.03625666644835681,0.39121552604698673
ratio.enterpriseValueMultiple,,0.03625666644835681,0.39121552604698673
key_metrics.capexToDepreciation,,0.035394576641686035,-0.09734664070107107
income_statement.eps,,0.03362927646220486,0.018589914761304074
income_statement.epsdiluted,,0.03329396694758232,0.020180078548181282
key_metrics.evToSales,,0.031240158840134688,0.39250564992345266
key_metrics.priceToSalesRatio,,0.03124010794030331,0.4000510315666691
ratio.priceToSalesRatio,,0.03124010794030331,0.4000510315666691
ratio.priceSalesRatio,,0.03124010794030331,0.4000510315666691
financial_growth.netIncomeGrowth,,0.029277218897037736,0.13619103086779266
key_metrics.averageReceivables,,0.028111402173014482,0.020023951252157373
balance_sheet.cashAndCashEquivalents,,0.025970528108844457,0.04990568550321249
enterprise_value.minusCashAndCashEquivalents,,0.025970528108844457,0.04990568550321249
ratio.effectiveTaxRate,,0.02586039355403245,0.0822267620020429
ratio.priceBookValueRatio,,0.024322085381324885,0.4383554647599591
ratio.priceToBookRatio,,0.024322085381324885,0.4383554647599591
key_metrics.ptbRatio,,0.024322085381324885,0.4383554647599591
key_metrics.pbRatio,,0.024322085381324885,0.4383554647599591
ratio.priceFairValue,,0.024322085381324885,0.4383554647599591
cash_flow.otherFinancingActivites,,0.023982007951791527,-0.084345102094419
key_metrics.marketCap,,0.02230756885215556,0.25013619339462034
key_metrics.enterpriseValue,,0.022307400280030972,0.1916581545795029
financial_growth.tenYDividendperShareGrowthPerShare,,0.022123244669734112,0.07569930656891675
cash_flow.netCashProvidedByOperatingActivities,,0.021783791976296808,0.05120450241952451
cash_flow.operatingCashFlow,,0.021783791976296808,0.05120450241952451
ratio.cashRatio,,0.02101006442229302,0.026659856996935648
financial_growth.tenYRevenueGrowthPerShare,,0.020217929860983263,0.10668222302979298
income_statement_growht.growthWeightedAverageShsOutDil,,0.01743278542711655,0.09903525046382189
income_statement_growht.growthDepreciationAndAmortization,,0.016000556670278325,-0.02513191323040844
income_statement_growht.growthOperatingExpenses,,0.015848251029625754,-0.11661228944139417
balance_sheet.propertyPlantEquipmentNet,,0.01584092034792328,-0.07481548154815482
ratio.totalDebtToCapitalization,,0.01576580179982527,0.009444203213200175
balance_sheet.deferredTaxLiabilitiesNonCurrent,,0.015590031366624065,-0.049096887103178936
income_statement.depreciationAndAmortization,,0.014736605816700934,0.003330377191309982
key_metrics.debtToAssets,,0.014352465755062901,0.04458631256384065
ratio.debtRatio,,0.014352465755062901,0.04458631256384065
income_statement_growht.growthWeightedAverageShsOut,,0.012900332800898109,0.08193219321932194
ratio.returnOnEquity,,0.009926934328564051,0.12931562819203268
key_metrics.roe,,0.009926934328564051,0.12931562819203268
financial_growth.inventoryGrowth,,0.009211968439357924,-0.10785090273733255
key_metrics.tangibleBookValuePerShare,,0.0071852753588667025,0.011474293496765407
income_statement_growht.growthIncomeTaxExpense,,0.006907858685149549,0.23700640652300525
key_metrics.daysOfInventoryOnHand,,0.00620263202359116,-0.19890106019513226
ratio.daysOfInventoryOutstanding,,0.00620263202359116,-0.19890106019513226
balance_sheet.otherCurrentAssets,,0.005352001140982151,0.07460236937125123
ratio.assetTurnover,,0.005223717089077496,0.005558795655026609
key_metrics.netCurrentAssetValue,,0.005096127781984614,0.03149472250595846
financial_growth.receivablesGrowth,,0.004605404652807298,0.1139728582514501
key_metrics.averagePayables,,0.0037786412734235747,0.02442569151429911
ratio.longTermDebtToCapitalization,,0.0030031599017221445,0.053506979911474295
balance_sheet.accumulatedOtherComprehensiveIncomeLoss,,0.001476685401599507,0.18778280542986425
financial_growth.operatingCashFlowGrowth,,0.0008175185234688506,0.10790977027237311
ratio.netIncomePerEBT,,-0.0006633598941921192,0.024685052774940416
financial_growth.sgaexpensesGrowth,,-0.0007875375865883195,-0.12340128130460105
balance_sheet.taxAssets,,-0.0030978202475322814,0.10208391219783274
ratio.currentRatio,,-0.00730067803287636,-0.010844399046646238
key_metrics.currentRatio,,-0.00730067803287636,-0.010844399046646238
income_statement.sellingAndMarketingExpenses,,-0.00878681239840801,-0.2
income_statement_growht.growthResearchAndDevelopmentExpenses,,-0.01026495160461212,-0.11619909502262443
cash_flow.salesMaturitiesOfInvestments,,-0.01125889877205424,-0.013446319803266509
ratio.operatingProfitMargin,,-0.012239506392445762,0.04607421447838449
key_metrics.bookValuePerShare,,-0.012503121635245517,-0.0240381341504937
key_metrics.shareholdersEquityPerShare,,-0.012503121635245517,-0.0240381341504937
financial_growth.threeYShareholdersEquityGrowthPerShare,,-0.014625100016605894,0.037392651531090414
income_statement.weightedAverageShsOutDil,,-0.015014829151157342,-0.10366698870266869
enterprise_value.numberOfShares,,-0.015623309840791516,-0.10280289710894419
income_statement.weightedAverageShsOut,,-0.015623309840791516,-0.10280289710894419
income_statement_growht.growthNetIncomeRatio,,-0.01985608646997771,0.07431135337504008
balance_sheet.otherLiabilities,,-0.023917890476872854,-0.01942278318443837
cash_flow.deferredIncomeTax,,-0.02794294249321081,-0.09684504474111758
balance_sheet.otherNonCurrentLiabilities,,-0.028356759762054033,0.07315518176885513
balance_sheet.totalAssets,,-0.033262749755197496,0.02073540394499846
balance_sheet.intangibleAssets,,-0.03532632422799258,0.0870209153632193
balance_sheet.totalStockholdersEquity,,-0.03596607632352724,-0.04039449984624171
income_statement.operatingExpenses,,-0.036273390481227324,-0.002009840530685762
income_statement.generalAndAdministrativeExpenses,,-0.036852807865800905,-0.038026361174095705
cash_flow.otherInvestingActivites,,-0.038544569544400685,-0.09146965029693392
balance_sheet.totalLiabilitiesAndStockholdersEquity,,-0.039105862293084936,0.03548521723850108
balance_sheet.totalCurrentAssets,,-0.03962973337047721,0.014464262179853271
